B,X,Y,Z,V,W
0.0,0.01851851851851872,0.02083333333333314,0.013888888888888184,0.0023148148148149053,0.9444444444444452
0.05,0.01851851851851872,0.02083333333333314,0.013888888888888184,0.0023148148148149053,0.9444444444444452
0.1,0.022624434389133405,0.027149321266958428,0.01809954751130501,0.004524886877826034,0.9276018099547773
0.15,0.022624434389133405,0.027149321266958428,0.01809954751130501,0.004524886877826034,0.9276018099547773
0.2,0.01818181818181929,0.027272727272728507,0.018181818181818764,0.009090909090909432,0.9272727272727239
0.25,0.01818181818181929,0.027272727272728507,0.018181818181818764,0.009090909090909432,0.9272727272727239
0.3,0.01818181818181929,0.027272727272728507,0.018181818181818764,0.009090909090909432,0.9272727272727239
0.35,0.01818181818181929,0.027272727272728507,0.018181818181818764,0.009090909090909432,0.9272727272727239
0.4,0.01818181818181929,0.027272727272728507,0.018181818181818764,0.009090909090909432,0.9272727272727239
0.45,0.0,0.0,0.0,1.0,0.0
0.5,0.0,0.0,0.0,1.0,0.0
0.55,0.0,0.0,0.0,1.0,0.0
0.6,0.0,0.0,0.0,1.0,0.0
0.65,0.0,0.0,0.0,1.0,0.0
0.7,0.0,0.0,0.0,1.0,0.0
0.75,0.0,0.0,0.0,1.0,0.0
0.8,0.0,0.0,0.0,1.0,0.0
0.85,0.0,0.0,0.0,1.0,0.0
0.9,0.0,0.0,0.0,1.0,0.0
0.95,0.0,0.0,0.0,1.0,0.0
