B,X,Y,Z,V
0.0,0.25000000000000017,0.33333333333333326,0.3333333333333333,0.08333333333333336
0.05,0.25000000000000017,0.33333333333333326,0.3333333333333333,0.08333333333333336
0.1,0.25000000000000017,0.33333333333333326,0.3333333333333333,0.08333333333333336
0.15,0.25000000000000017,0.33333333333333326,0.3333333333333333,0.08333333333333336
0.2,0.1666666666666668,0.3333333333333328,0.33333333333333365,0.1666666666666668
0.25,0.1666666666666668,0.3333333333333328,0.33333333333333365,0.1666666666666668
0.3,0.1666666666666668,0.3333333333333328,0.33333333333333365,0.1666666666666668
0.35,0.1666666666666668,0.3333333333333328,0.33333333333333365,0.1666666666666668
0.4,0.1666666666666668,0.3333333333333328,0.33333333333333365,0.1666666666666668
0.45,0.0,0.0,0.0,1.0
0.5,0.0,0.0,0.0,1.0
0.55,0.0,0.0,0.0,1.0
0.6,0.0,0.0,0.0,1.0
0.65,0.0,0.0,0.0,1.0
0.7,0.0,0.0,0.0,1.0
0.75,0.0,0.0,0.0,1.0
0.8,0.0,0.0,0.0,1.0
0.85,0.0,0.0,0.0,1.0
0.9,0.0,0.0,0.0,1.0
0.95,0.0,0.0,0.0,1.0
