M,X,Y,Z,V,W
5,0.2000000000000004,0.057142857142857176,0.1999999999999999,0.307142857142857,0.23571428571428557
10,0.11320754716981214,0.11320754716981289,0.0754716981132082,0.018867924528302014,0.6792452830188648
15,0.08823529414684227,0.08823529414684235,0.05882352943122808,0.014705882357807102,0.7499999999172802
20,0.07228915662650334,0.07228915662650297,0.04819277108433432,0.012048192771083219,0.7951807228915762
25,0.06122448979591877,0.061224489795919136,0.04081632653061318,0.010204081632652984,0.8265306122448959
30,0.05309734509044972,0.053097345090448785,0.035398230060298755,0.008849557515074625,0.8495575222437282
35,0.04687500003844869,0.04687500003844722,0.03125000002563159,0.0078125000064078,0.8671874998910646
40,0.041958041958044326,0.04195804195804475,0.02797202797202998,0.006993006993007213,0.8811188811188738
45,0.037974683511855845,0.037974683511856275,0.025316455674570908,0.006329113918643017,0.892405063383074
50,0.03468208092485432,0.0346820809248534,0.02312138728323584,0.005780346820808985,0.9017341040462474
55,0.03191489364503238,0.03191489364503177,0.02127659576335464,0.005319148940839316,0.9095744680057418
60,0.029556650298716788,0.029556650298715043,0.01970443353247602,0.00492610838311907,0.9162561574869731
65,0.02752293580443658,0.027522935804437616,0.018348623869625286,0.004587155967406347,0.9220183485540943
70,0.025751072984579352,0.0257510729845786,0.01716738198971849,0.0042918454974292895,0.9270386265436943
75,0.024193548332231002,0.024193548332232303,0.01612903222149097,0.004032258055373623,0.9314516130586722
80,0.02281368821292776,0.02281368821292721,0.015209125475284935,0.0038022813688216874,0.9353612167300384
85,0.021582733842642633,0.021582733842640575,0.01438848922842713,0.0035971223071067653,0.9388489207791828
90,0.02047781568079089,0.02047781568079227,0.013651877120528042,0.003412969280131998,0.9419795222377567
95,0.019480519498541647,0.019480519498540048,0.012987012999025997,0.0032467532497564397,0.9448051947541357
100,0.01857585139318695,0.01857585139318589,0.01238390092879016,0.0030959752321977445,0.9473684210526392
105,0.017751479248585993,0.017751479248586572,0.011834319499057843,0.002958579874764453,0.9497041421290051
110,0.01699716715469668,0.016997167154696197,0.011331444769797583,0.0028328611924491698,0.9518413597283604
115,0.016304347871947397,0.0163043478719487,0.01086956524796717,0.0027173913119917146,0.953804347696145
120,0.015665796285747366,0.01566579628574642,0.010443864190497204,0.002610966047624681,0.9556135771903843
125,0.015075376884420908,0.015075376884420679,0.010050251256279587,0.0025125628140696007,0.9572864321608092
130,0.014527845050036896,0.014527845050036538,0.009685230033357367,0.002421307508339002,0.9588377723582301
135,0.014018691575518912,0.014018691575518495,0.00934579438367937,0.002336448595919711,0.9602803738693635
140,0.013544017981647649,0.013544017981647026,0.009029345321098047,0.0022573363302746266,0.9616252823853326
145,0.013100436637679885,0.013100436637680525,0.008733624425121782,0.0021834061062803436,0.9628820961932376
150,0.012684989489511364,0.01268498948951129,0.008456659659674156,0.0021141649149176546,0.9640591964463855
155,0.012295081961358104,0.01229508196135813,0.008196721307572983,0.002049180326893837,0.9651639344428169
160,0.011928429423457749,0.011928429423458056,0.007952286282304715,0.0019880715705759737,0.9662027833002035
165,0.011583011654957025,0.011583011654955514,0.007722007769970843,0.0019305019424924392,0.9671814669776242
170,0.01125703557188345,0.011257035571882446,0.007504690381255051,0.0018761725953140808,0.9681050658796649
175,0.010948905083267329,0.01094890508326751,0.007299270055512688,0.0018248175138782725,0.9689781022640741
180,0.01065719368745411,0.01065719368745112,0.007104795791632862,0.001776198947908596,0.9698046178855533
185,0.010380622827400784,0.01038062282740092,0.006920415218266711,0.001730103804566121,0.9705882353223655
190,0.010118043854582905,0.010118043854582263,0.006745362569721449,0.0016863406424307756,0.9713322090786825
195,0.00986842100040722,0.009868421000407085,0.0065789473336047444,0.001644736833401276,0.9720394738321797
200,0.009630818619576292,0.009630818619574495,0.006420545746382034,0.001605136436595249,0.9727126805778719
205,0.00940438875099628,0.009404388750996558,0.006269592500663993,0.0015673981251659453,0.9733542318721773
210,0.009188361479797158,0.00918836147979549,0.006125574319862665,0.0015313935799651608,0.9739663091405795
215,0.008982035945496862,0.00898203594549793,0.00598802396366625,0.0014970059909172027,0.9745508981544219
220,0.008784772975142055,0.008784772975141877,0.005856515316761314,0.0014641288291908246,0.9751098099037638
225,0.008595988455553946,0.008595988455552952,0.005730658970368967,0.0014326647425928086,0.9756446993759312
230,0.008415147289510897,0.00841514728951059,0.005610098193008325,0.001402524548252402,0.9761570826797178
235,0.00824175814997069,0.00824175814997039,0.0054945054333134565,0.001373626358328153,0.9766483519084173
240,0.008075370183736977,0.008075370183737097,0.005383580122492074,0.0013458950306236158,0.9771197844794103
245,0.007915567370588794,0.007915567370588088,0.005277044913725417,0.0013192612284311552,0.9775725591166665
250,0.00776196636481842,0.007761966364819699,0.005174644243213739,0.0012936610608038513,0.9780077619663442
255,0.0076142131462223015,0.007614213146220324,0.0050761420974791156,0.0012690355243702813,0.978426396085708
260,0.007471979987625035,0.007471979987624699,0.004981319991749662,0.0012453299979375762,0.9788293900350631
265,0.007334963314488163,0.007334963314486689,0.004889975542991175,0.0012224938857475587,0.9792176039422863
270,0.007202881145459443,0.007202881145461229,0.004801920763640739,0.0012004801909101927,0.9795918367545284
275,0.007075471629278999,0.007075471629278605,0.004716981086185995,0.0011792452715466732,0.9799528303837097
280,0.006952491363519284,0.006952491363518898,0.004634994242345583,0.0011587485605857603,0.9803012744700305
285,0.006833712927486604,0.006833712927486326,0.004555808618323086,0.001138952154579873,0.9806378133721241
290,0.006718925044011829,0.006718925044013206,0.004479283362675149,0.001119820840668607,0.9809630457086311
295,0.006607929499322411,0.006607929499323744,0.004405286332883157,0.0011013215832205102,0.9812775330852502
300,0.006500541648415586,0.0065005416484144075,0.004333694432275652,0.0010834236080687492,0.9815817986628257
305,0.006396588439338912,0.00639658843933747,0.004264392292890836,0.001066098073222281,0.9818763327552105
310,0.006295907752181929,0.0062959077521838255,0.004197271834789016,0.001049317958697053,0.982161594702148
315,0.0061983471558533475,0.006198347155855413,0.004132231437238019,0.001033057859310052,0.9824380163917433
320,0.006103763987794758,0.0061037639877950705,0.004069175991863358,0.0010172939979657878,0.982706002034581
325,0.006012024092148182,0.006012024092147423,0.0040080160614324465,0.0010020040153583053,0.9829659317389137
330,0.005923000929280721,0.005923000929280306,0.0039486672861863414,0.0009871668215466376,0.9832181640337061
335,0.0058365758241331585,0.0058365758241328,0.0038910505494228185,0.000972762637355698,0.9834630351649555
340,0.005752636681378915,0.005752636681379471,0.003835091120920342,0.0009587727802298144,0.9837008627360914
345,0.005671077457576672,0.005671077457576789,0.0037807183050526097,0.0009451795762637485,0.9839319472035302
350,0.005591798777331944,0.0055917987773337905,0.003727865851556572,0.0009319664628888932,0.9841565701308888
355,0.005514705866160197,0.005514705866160861,0.0036764705774410887,0.000919117644360405,0.9843750000458775
360,0.005439709924748985,0.00543970992474853,0.003626473283164687,0.0009066183207909709,0.9845874885465468
365,0.005366726244395732,0.00536672624439602,0.0035778174962628954,0.000894454374065891,0.9847942756408794
370,0.005295675193402283,0.005295675193402842,0.0035304501289354423,0.0008826125322334687,0.9849955869520259
375,0.005226480900260487,0.005226480900262471,0.0034843206001751808,0.0008710801500433379,0.9851916374492585
380,0.005159071276123881,0.0051590712761231975,0.0034393808507482897,0.0008598452126873445,0.9853826313843173
385,0.005093378612801625,0.005093378612799072,0.0033955857418653443,0.0008488964354666864,0.9855687605970673
390,0.00502933787291207,0.005029337872913481,0.0033528919152757465,0.0008382229788191185,0.9857502093600796
395,0.004966887475685066,0.00496688747568381,0.0033112583171218007,0.0008278145792804642,0.9859271521522288
400,0.0049059689288664735,0.0049059689288668265,0.003270645952578233,0.0008176614881443863,0.9860997547015441
405,0.004846526651139658,0.004846526651137494,0.003231017767423864,0.0008077544418564629,0.9862681744884425
410,0.004788507600604394,0.004788507600603913,0.0031923384004019194,0.0007980846001003776,0.9864325617982894
415,0.00473186128701379,0.004731861287013451,0.0031545741913427353,0.0007886435478355524,0.9865930596867946
420,0.004676539397604658,0.004676539397600567,0.003117692931732634,0.0007794232329330553,0.986749805040129
425,0.004622496193324857,0.004622496193323508,0.0030816641288820544,0.0007704160322207894,0.9869029274522488
430,0.0045696877469846384,0.004569687746985423,0.0030464584979905253,0.0007616146244976683,0.9870525513835418
435,0.00451807233799596,0.004518072337997468,0.0030120482253323273,0.0007530120563335063,0.9871987950423406
440,0.004467609881436073,0.0044676098814349615,0.0029784065876236362,0.0007446016469062678,0.9873417720025992
445,0.004418262128498583,0.004418262128497876,0.0029455080856645257,0.0007363770214157213,0.9874815906359232
450,0.004369992673716141,0.004369992673716758,0.002913328449145081,0.0007283321122867714,0.9876183540911353
455,0.00432276657485737,0.004322766574858158,0.0028818443832387837,0.0007204610958101318,0.9877521613712356
460,0.004276550165343469,0.004276550165344332,0.0028510334435638165,0.0007127583608913118,0.9878831078648571
465,0.004231311640025739,0.004231311640025475,0.002820874426684534,0.0007052186066712115,0.9880112836865931
470,0.004187020286702917,0.0041870202867034636,0.002791346857801985,0.0006978367144504781,0.9881367758543411
475,0.004143646490401817,0.004143646490403512,0.002762430993602535,0.0006906077484004535,0.9882596682771918
480,0.00410116193131554,0.004101161931317308,0.0027341079542129833,0.0006835269885536956,0.9883800411946003
485,0.004059539976758896,0.004059539976760728,0.0027063599845068413,0.0006765899961262431,0.9884979700658474
490,0.004018754134766206,0.0040187541347661004,0.002679169423178987,0.0006697923557955496,0.9886135299514931
495,0.003978779801669008,0.003978779801669191,0.002652519867780435,0.0006631299669451567,0.9887267905619361
500,0.003939592908737317,0.00393959290873695,0.002626395272492511,0.0006565988181233683,0.9888378200919098
