M,X,Y,Z,W
5,0.24999999999999978,0.25000000000000006,0.25000000000000006,0.25000000000000006
10,0.11111111111111122,0.11111111111111151,0.11111111111111162,0.6666666666666656
15,0.08695652176748572,0.08695652176748582,0.0869565217674865,0.739130434697542
20,0.07142857142857172,0.07142857142857195,0.07142857142857169,0.7857142857142846
25,0.06060606060606071,0.060606060606060545,0.060606060606060455,0.8181818181818182
30,0.052631578905816656,0.05263157890581609,0.05263157890581621,0.8421052632825511
35,0.04651162794483446,0.04651162794483436,0.04651162794483446,0.8604651161654968
40,0.04166666666666871,0.041666666666668864,0.04166666666666902,0.8749999999999934
45,0.0377358490245637,0.037735849024563645,0.03773584902456351,0.886792452926309
50,0.03448275862068977,0.03448275862068943,0.03448275862068988,0.8965517241379308
55,0.03174603177374406,0.031746031773743896,0.03174603177374379,0.9047619046787683
60,0.02941176475778438,0.029411764757783437,0.029411764757783582,0.9117647057266487
65,0.027397260298367546,0.027397260298367768,0.027397260298367202,0.9178082191048975
70,0.025641025664036636,0.025641025664036417,0.025641025664036345,0.9230769230078906
75,0.024096385487736266,0.02409638548773688,0.024096385487737185,0.9277108435367898
80,0.02272727272727259,0.02272727272727253,0.022727272727271985,0.931818181818183
85,0.021505376373566826,0.02150537637356649,0.021505376373565338,0.9354838708793013
90,0.02040816324656288,0.020408163246562715,0.020408163246562954,0.9387755102603115
95,0.019417475746064946,0.019417475746065442,0.01941747574606535,0.9417475727618042
100,0.018518518518518094,0.01851851851851815,0.018518518518518025,0.9444444444444456
105,0.017699115003130983,0.017699115003130983,0.017699115003131212,0.9469026549906069
110,0.016949152558173503,0.016949152558172954,0.01694915255817279,0.9491525423254806
115,0.016260162647233678,0.016260162647233563,0.016260162647233217,0.9512195120582996
120,0.01562499994140615,0.01562499994140582,0.015624999941405806,0.9531250001757822
125,0.01503759398496403,0.015037593984964362,0.015037593984964787,0.9548872180451069
130,0.014492753636839693,0.014492753636839138,0.014492753636839153,0.956521739089482
135,0.013986013972812633,0.013986013972813465,0.013986013972814097,0.9580419580815599
140,0.013513513436815288,0.013513513436814678,0.013513513436814166,0.9594594596895559
145,0.013071895381478998,0.01307189538147933,0.013071895381479312,0.9607843138555624
150,0.012658227908184896,0.012658227908183899,0.012658227908183696,0.9620253162754474
155,0.012269938644472463,0.012269938644472352,0.012269938644472227,0.963190184066583
160,0.011904761904761777,0.011904761904761666,0.011904761904760744,0.9642857142857159
165,0.011560693713286989,0.011560693713286658,0.011560693713286496,0.9653179188601398
170,0.011235954981063176,0.0112359549810634,0.01123595498106333,0.96629213505681
175,0.010928961722505681,0.010928961722505182,0.010928961722504524,0.9672131148324846
180,0.01063829795382506,0.010638297953825558,0.010638297953824928,0.9680851061385245
185,0.010362694290587915,0.010362694290588692,0.010362694290588894,0.9689119171282344
190,0.010101010110701959,0.010101010110702236,0.010101010110701875,0.9696969696678939
195,0.009852216696717339,0.009852216696717727,0.00985221669671722,0.9704433499098478
200,0.009615384615385034,0.009615384615384814,0.009615384615383875,0.9711538461538463
205,0.009389671397653227,0.009389671397653449,0.009389671397653818,0.9718309858070395
210,0.009174311997307002,0.009174311997306612,0.009174311997306459,0.97247706400808
215,0.008968609882763432,0.008968609882763098,0.008968609882763134,0.9730941703517103
220,0.008771929739920296,0.008771929739920463,0.008771929739920685,0.9736842107802386
225,0.008583690904235277,0.008583690904235112,0.008583690904235306,0.9742489272872943
230,0.008403361368902405,0.008403361368903071,0.008403361368903071,0.9747899158932914
235,0.008230452583362455,0.008230452583362455,0.008230452583361511,0.9753086422499135
240,0.008064516191465606,0.008064516191464942,0.008064516191465537,0.9758064514256038
245,0.007905138427955287,0.007905138427955453,0.007905138427955614,0.9762845847161337
250,0.007751937984498164,0.007751937984498498,0.007751937984498323,0.976744186046505
255,0.007604562686029669,0.007604562686029115,0.0076045626860295505,0.9771863119419115
260,0.0074626864802861065,0.007462686480286163,0.00746268648028603,0.9776119405591417
265,0.007326007315340235,0.007326007315340235,0.0073260073153397975,0.9780219780539797
270,0.007194244597331213,0.007194244597331657,0.0071942445973317195,0.9784172662080055
275,0.0070671377405174,0.00706713774051851,0.007067137740519558,0.9787985867784444
280,0.006944444498456384,0.006944444498456605,0.006944444498457529,0.9791666665046295
285,0.006825938510118843,0.006825938510119398,0.0068259385101191485,0.9795221844696426
290,0.006711409467816217,0.006711409467815995,0.00671140946781537,0.9798657715965524
295,0.006600660049941687,0.006600660049941632,0.006600660049941381,0.9801980198501753
300,0.006493506430260647,0.006493506430261312,0.006493506430260972,0.980519480709217
305,0.006389776311130905,0.0063897763111307945,0.0063897763111312655,0.980830671066607
310,0.0062893082680705115,0.006289308268070901,0.00628930826807065,0.9811320751957879
315,0.006191950512707344,0.006191950512708455,0.006191950512708842,0.9814241484618753
320,0.006097560975608712,0.0060975609756085455,0.0060975609756085385,0.9817073170731743
325,0.006006006049968025,0.006006006049968358,0.00600600604996842,0.9819819818500951
330,0.005917159705543263,0.005917159705543429,0.005917159705543568,0.9822485208833698
335,0.005830903738834178,0.005830903738834511,0.0058309037388342266,0.982507288783497
340,0.005747126492930857,0.005747126492930246,0.00574712649292992,0.982758620521209
345,0.0056657223325377775,0.005665722332537666,0.005665722332538318,0.9830028330023861
350,0.005586592260698159,0.005586592260698159,0.005586592260698943,0.9832402232179048
355,0.005509641857112309,0.0055096418571118095,0.005509641857111774,0.9834710744286641
360,0.005434782651228543,0.005434782651228044,0.005434782651227336,0.9836956520463161
365,0.005361930242438431,0.0053619302424390974,0.005361930242439028,0.9839142092726834
370,0.0052910052858259615,0.0052910052858258505,0.005291005285825691,0.9841269841425225
375,0.005221932178793543,0.005221932178793487,0.0052219321787931325,0.9843342034636199
380,0.0051546390843858385,0.005154639084385283,0.0051546390843843605,0.9845360827468445
385,0.00508905852916184,0.005089058529162284,0.005089058529162692,0.9847328244125133
390,0.005025125697077528,0.005025125697077694,0.005025125697077646,0.9849246229087671
395,0.004962779214700617,0.004962779214701449,0.004962779214701102,0.9851116623558968
400,0.004901960784311583,0.004901960784311417,0.004901960784310875,0.9852941176470661
405,0.004842615007358018,0.004842615007357852,0.0048426150073571095,0.985472154977927
410,0.004784689013988078,0.0047846890139876894,0.00478468901398737,0.9856459329580368
415,0.0047281324758418515,0.004728132475841741,0.00472813247584188,0.9858156025724746
420,0.004672897232945181,0.004672897232945403,0.004672897232945632,0.9859813083011639
425,0.004618937689679246,0.004618937689680413,0.004618937689680793,0.9861431869309595
430,0.004566210054628312,0.004566210054628479,0.00456621005462807,0.986301369836115
435,0.004514672734997079,0.004514672734997578,0.004514672734996995,0.9864559817950083
440,0.004464285766902646,0.004464285766903091,0.004464285766902952,0.9866071426992912
445,0.004415011015839791,0.004415011015839235,0.004415011015838612,0.9867549669524824
