mu,X,Y,Z,W,V
1.0,0.199985135,0.200003227,0.199993964,0.200017508,0.200000166
0.08858667904100823,0.024504477,0.116753068,0.813409842,0.02233933,0.022993283
0.615848211066026,0.16603725,0.270059412,0.253908631,0.139958953,0.170035754
0.14384498882876628,0.041205729,0.174632478,0.71006229,0.035916062,0.038183441
0.23357214690901212,0.071251295,0.250015696,0.557366969,0.057610773,0.063755267
0.3792690190732246,0.119066072,0.307579919,0.375173661,0.091364977,0.106815371
0.05455594781168514,0.013996693,0.014545708,0.019443047,0.013630793,0.938383759
0.0018329807108324356,0.000462366,0.00046112,0.000514797,0.00053048,0.998031237
0.0011288378916846883,0.000282018,0.000282293,0.000315562,0.000281762,0.998838365
0.0206913808111479,0.005231825,0.00529557,0.006191373,0.005167036,0.978114196
0.0006951927961775605,0.000215574,0.000202673,0.00023031,0.001468845,0.997882598
0.002976351441631319,0.000745166,0.000747037,0.000829539,0.000743389,0.996934869
0.012742749857031334,0.003206903,0.00322687,0.003632763,0.003185338,0.986748126
0.0001,0.000302928,0.000169969,0.000244519,0.000395247,0.998887337
0.03359818286283781,0.00854879,0.008724235,0.010682652,0.008400633,0.96364369
0.00026366508987303583,0.000101533,0.00010542,0.000136057,0.002567754,0.997089236
0.004832930238571752,0.001212185,0.001213509,0.001352592,0.001208395,0.995013319
0.007847599703514606,0.00197129,0.001979462,0.002211135,0.001962156,0.991875957
0.00042813323987193956,0.000127943,0.000117003,0.000157524,0.000544538,0.999052992
0.0001623776739188721,9.4278e-05,0.000185303,0.000128173,0.000541002,0.999051244
