N,X,Y,R,S
2,0.0,1.0,0.0,0.0
3,0.0,1.0,0.0,0.0
4,0.0,1.0,0.0,0.0
5,0.0,1.0,0.0,0.0
6,0.0,1.0,0.0,0.0
7,0.0,1.0,0.0,0.0
8,0.0,1.0,0.0,0.0
9,0.0,1.0,0.0,0.0
10,0.0,1.0,0.0,0.0
11,0.0,1.0,0.0,0.0
12,0.0,1.0,0.0,0.0
13,0.0,1.0,0.0,0.0
14,0.0,1.0,0.0,0.0
15,0.0,1.0,0.0,0.0
16,0.0,1.0,0.0,0.0
17,0.0,1.0,0.0,0.0
18,0.0,1.0,0.0,0.0
19,0.0,1.0,0.0,0.0
20,0.0,1.0,0.0,0.0
21,0.0,1.0,0.0,0.0
22,0.0,1.0,0.0,0.0
23,0.0,1.0,0.0,0.0
24,0.0,1.0,0.0,0.0
25,0.0,1.0,0.0,0.0
26,0.0,1.0,0.0,0.0
27,0.0,1.0,0.0,0.0
28,0.0,1.0,0.0,0.0
29,0.0,1.0,0.0,0.0
30,0.0,1.0,0.0,0.0
31,0.0,1.0,0.0,0.0
32,0.0,1.0,0.0,0.0
33,0.0,1.0,0.0,0.0
34,0.0,1.0,0.0,0.0
35,0.0,1.0,0.0,0.0
36,0.0,1.0,0.0,0.0
37,0.0,1.0,0.0,0.0
38,0.0,1.0,0.0,0.0
39,0.0,1.0,0.0,0.0
40,0.0,1.0,0.0,0.0
41,0.0,1.0,0.0,0.0
42,0.0,1.0,0.0,0.0
43,0.0,1.0,0.0,0.0
44,0.0,1.0,0.0,0.0
45,0.0,1.0,0.0,0.0
46,0.0,1.0,0.0,0.0
47,0.0,1.0,0.0,0.0
48,0.0,1.0,0.0,0.0
49,0.0,1.0,0.0,0.0
50,0.0,1.0,0.0,0.0
51,0.0,1.0,0.0,0.0
52,0.0,1.0,0.0,0.0
53,0.0,1.0,0.0,0.0
54,0.0,1.0,0.0,0.0
55,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
56,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
57,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
58,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
59,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
60,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
61,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
62,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
63,0.0186915887850488,0.018691588785049517,0.009345794392524883,0.9532710280373767
64,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
65,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
66,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
67,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
68,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
69,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
70,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
71,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
72,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
73,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
74,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
75,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
76,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
77,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
78,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
79,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
80,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
81,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
82,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
83,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
84,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
85,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
86,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
87,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
88,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
89,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
90,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
91,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
92,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
93,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
94,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
95,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
96,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
97,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
98,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
99,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
100,0.012861736334404784,0.006430868167202491,0.003215434083601145,0.9774919614147917
