N,X,Y,S
2,0.0,1.0,0.0
3,0.0,1.0,0.0
4,0.0,1.0,0.0
5,0.0,1.0,0.0
6,0.0,1.0,0.0
7,0.0,1.0,0.0
8,0.0,1.0,0.0
9,0.0,1.0,0.0
10,0.0,1.0,0.0
11,0.0,1.0,0.0
12,0.0,1.0,0.0
13,0.0,1.0,0.0
14,0.0,1.0,0.0
15,0.0,1.0,0.0
16,0.0,1.0,0.0
17,0.0,1.0,0.0
18,0.0,1.0,0.0
19,0.0,1.0,0.0
20,0.0,1.0,0.0
21,0.0,1.0,0.0
22,0.0,1.0,0.0
23,0.0,1.0,0.0
24,0.0,1.0,0.0
25,0.0,1.0,0.0
26,0.0,1.0,0.0
27,0.0,1.0,0.0
28,0.0,1.0,0.0
29,0.0,1.0,0.0
30,0.0,1.0,0.0
31,0.0,1.0,0.0
32,0.0,1.0,0.0
33,0.0,1.0,0.0
34,0.0,1.0,0.0
35,0.0,1.0,0.0
36,0.0,1.0,0.0
37,0.0,1.0,0.0
38,0.0,1.0,0.0
39,0.0,1.0,0.0
40,0.0,1.0,0.0
41,0.0,1.0,0.0
42,0.0,1.0,0.0
43,0.0,1.0,0.0
44,0.0,1.0,0.0
45,0.0,1.0,0.0
46,0.0,1.0,0.0
47,0.0,1.0,0.0
48,0.0,1.0,0.0
49,0.0,1.0,0.0
50,0.0,1.0,0.0
51,0.0,1.0,0.0
52,0.0,1.0,0.0
53,0.0,1.0,0.0
54,0.0,1.0,0.0
55,0.0,1.0,0.0
56,0.0,1.0,0.0
57,0.0,1.0,0.0
58,0.0,1.0,0.0
59,0.0,1.0,0.0
60,0.0,1.0,0.0
61,0.0,1.0,0.0
62,0.0,1.0,0.0
63,0.0,1.0,0.0
64,0.009708737864077293,0.009708737864077102,0.9805825242718457
65,0.009708737864077293,0.009708737864077102,0.9805825242718457
66,0.009708737864077293,0.009708737864077102,0.9805825242718457
67,0.009708737864077293,0.009708737864077102,0.9805825242718457
68,0.009708737864077293,0.009708737864077102,0.9805825242718457
69,0.009708737864077293,0.009708737864077102,0.9805825242718457
70,0.009708737864077293,0.009708737864077102,0.9805825242718457
71,0.009708737864077293,0.009708737864077102,0.9805825242718457
72,0.009708737864077293,0.009708737864077102,0.9805825242718457
73,0.009708737864077293,0.009708737864077102,0.9805825242718457
74,0.009708737864077293,0.009708737864077102,0.9805825242718457
75,0.009708737864077293,0.009708737864077102,0.9805825242718457
76,0.009708737864077293,0.009708737864077102,0.9805825242718457
77,0.009708737864077293,0.009708737864077102,0.9805825242718457
78,0.009708737864077293,0.009708737864077102,0.9805825242718457
79,0.009708737864077293,0.009708737864077102,0.9805825242718457
80,0.009708737864077293,0.009708737864077102,0.9805825242718457
81,0.009708737864077293,0.009708737864077102,0.9805825242718457
82,0.009708737864077293,0.009708737864077102,0.9805825242718457
83,0.009708737864077293,0.009708737864077102,0.9805825242718457
84,0.009708737864077293,0.009708737864077102,0.9805825242718457
85,0.009708737864077293,0.009708737864077102,0.9805825242718457
86,0.009708737864077293,0.009708737864077102,0.9805825242718457
87,0.009708737864077293,0.009708737864077102,0.9805825242718457
88,0.009708737864077293,0.009708737864077102,0.9805825242718457
89,0.009708737864077293,0.009708737864077102,0.9805825242718457
90,0.009708737864077293,0.009708737864077102,0.9805825242718457
91,0.009708737864077293,0.009708737864077102,0.9805825242718457
92,0.009708737864077293,0.009708737864077102,0.9805825242718457
93,0.009708737864077293,0.009708737864077102,0.9805825242718457
94,0.009708737864077293,0.009708737864077102,0.9805825242718457
95,0.009708737864077293,0.009708737864077102,0.9805825242718457
96,0.009708737864077293,0.009708737864077102,0.9805825242718457
97,0.009708737864077293,0.009708737864077102,0.9805825242718457
98,0.009708737864077293,0.009708737864077102,0.9805825242718457
99,0.009708737864077293,0.009708737864077102,0.9805825242718457
100,0.009708737864077293,0.009708737864077102,0.9805825242718457
