s,X,Y,Z,V',W'
0.0001,0.19983638864711373,0.20058395596699863,0.1995909828744789,0.20013087101336283,0.19985780149804588
0.00014563484775012445,0.19976103693061537,0.20085012244622952,0.1994055139379361,0.20019042278557542,0.1997929038996436
0.00021209508879201905,0.19965053104925556,0.20123738148062773,0.19913673489134026,0.2002769627799878,0.19969838979878862
0.00030888435964774815,0.19948798064718606,0.2018005501928501,0.19874811857621186,0.2004025958597908,0.19956075472396123
0.0004498432668969444,0.19924785842434284,0.20261891659614065,0.19818813254135098,0.20058472197520363,0.1993603704629618
0.0006551285568595509,0.1988910636546378,0.2038066758936627,0.19738527572657974,0.2008482048299241,0.1990687798951957
0.0009540954763499944,0.19835673066267195,0.20552710219260137,0.19624289353515656,0.20122828909878587,0.19864498451078422
0.0013894954943731374,0.197548392537254,0.2080104986636985,0.19463601747286588,0.2017743641047249,0.19803072722145681
0.0020235896477251557,0.19631055388259905,0.21157321536770318,0.1924156768584969,0.20255470920885765,0.19714584468234328
0.0029470517025518097,0.19439013348305834,0.21662596851688515,0.18943283685246295,0.20366255186508983,0.1958885092825039
0.004291934260128779,0.19137893228626848,0.22363306480052575,0.1856047793889675,0.2052259681700333,0.19415725535420505
0.0062505519252739694,0.18665129057708196,0.2329133819803668,0.18105374254301002,0.20743458828899178,0.19194699661054937
0.009102981779915217,0.17937948480672208,0.24402407465988055,0.17630400742922056,0.21063670660556374,0.18965572649861298
0.013257113655901081,0.16885183307034934,0.25434376292179356,0.17228541522655533,0.21568102538344686,0.18883796339785486
0.019306977288832496,0.1552448766781223,0.2572234744518151,0.16939007262457337,0.22487035006764772,0.19327122617784157
0.02811768697974228,0.13975010326091888,0.2431222698423112,0.16529454320519338,0.24367227626637702,0.2081608074251996
0.040949150623804234,0.12210093872193396,0.20744614696774666,0.1545972590688634,0.2820659717277017,0.23378968351375415
0.05963623316594643,0.09917996161449218,0.15645570318400523,0.13271208081127112,0.35440528371246294,0.2572469706777685
0.08685113737513521,0.06958523892750786,0.10130642627990202,0.09896953321705292,0.47767909743888554,0.25245970413665175
0.12648552168552957,0.037751912119903454,0.0518505023207765,0.05806249925029711,0.6580153462571503,0.19431974005187255
0.18420699693267145,0.013253605290137775,0.017674190478131617,0.02242853942067405,0.8495850601104434,0.09705860470061305
0.2682695795279725,0.0024361693795828137,0.00321366345057211,0.004560141510981052,0.9643120908621547,0.02547793479670931
0.3906939937054613,0.00019423681675561952,0.0002543343716764488,0.0003979539345938121,0.9962409065469202,0.002912568330053855
0.5689866029018293,5.110991875780348e-06,6.621435613247002e-06,1.1257212664485245e-05,0.9998685990735547,0.00010841128629193585
0.8286427728546842,2.644194279875603e-08,3.405042916123902e-08,6.177731003966783e-08,0.9999991187515406,7.589787772495026e-07
1.2067926406393288,0.0,0.0,0.0,1.0,0.0
1.7575106248547894,0.0,0.0,0.0,1.0,0.0
2.559547922699533,0.0,0.0,0.0,1.0,0.0
3.727593720314938,0.0,0.0,0.0,1.0,0.0
5.428675439323859,0.0,0.0,0.0,1.0,0.0
7.9060432109076855,0.0,0.0,0.0,1.0,0.0
11.513953993264458,0.0,0.0,0.0,1.0,0.0
16.768329368110066,0.0,0.0,0.0,1.0,0.0
24.420530945486497,0.0,0.0,0.0,1.0,0.0
35.564803062231285,0.0,0.0,0.0,1.0,0.0
51.79474679231202,0.0,0.0,0.0,1.0,0.0
75.43120063354607,0.0,0.0,0.0,1.0,0.0
109.85411419875572,0.0,0.0,0.0,1.0,0.0
159.98587196060572,0.0,0.0,0.0,1.0,0.0
232.99518105153672,0.0,0.0,0.0,1.0,0.0
339.3221771895323,0.0,0.0,0.0,1.0,0.0
494.1713361323828,0.0,0.0,0.0,1.0,0.0
719.6856730011514,0.0,0.0,0.0,1.0,0.0
1048.1131341546852,0.0,0.0,0.0,1.0,0.0
1526.4179671752302,0.0,0.0,0.0,1.0,0.0
2222.996482526191,0.0,0.0,0.0,1.0,0.0
3237.45754281764,0.0,0.0,0.0,1.0,0.0
4714.8663634573895,0.0,0.0,0.0,1.0,0.0
6866.488450042998,0.0,0.0,0.0,1.0,0.0
10000.0,0.0,0.0,0.0,1.0,0.0
