M,X_{cj},X_{rj},Y_{cj},Y_{rj},T,U,V,W
5,6.623827560072168e-17,2.7476618026966034e-16,1.3063659910142332e-16,1.3063659910142332e-16,0.4999999999999996,1.3063659910142332e-16,0.4999999999999994,1.3063659910142332e-16
10,2.6302889397317394e-16,1.3151444698658697e-15,0.5000000000000007,0.49999999999999756,0.0,2.3380346130948794e-16,0.0,2.3380346130948794e-16
15,4.882528133065384e-16,3.1592829096305426e-16,0.5000000000000013,0.49999999999999717,0.0,3.518292331179468e-16,0.0,3.518292331179468e-16
20,1.138916056233195e-16,1.1958618590448548e-15,0.4999999999999985,0.4999999999999981,0.0,8.7198260555354e-16,0.0,1.1691685139768891e-15
25,8.497810924792581e-17,1.5862580392946152e-15,0.49999999999999495,0.5000000000000018,0.0,7.612622286793355e-16,0.0,7.612622286793355e-16
30,8.468695893627914e-16,2.4559218091520956e-15,0.49999999999999295,0.4999999999999981,0.0,2.773497905163142e-15,0.0,2.773497905163142e-15
35,5.632022696253995e-17,1.126404539250799e-16,0.4999999999999996,0.49999999999999994,0.0,2.0328081919291764e-16,0.0,2.0328081919291764e-16
40,5.621742893659987e-16,1.3773270089466971e-15,0.49999999999999245,0.5000000000000028,0.0,1.5626688449720499e-15,0.0,1.238540231259466e-15
45,7.85929013365735e-16,3.0875782667939593e-16,0.4999999999999931,0.5000000000000054,0.0,1.0964411458785367e-16,0.0,1.0964411458785367e-16
50,6.168170081539146e-16,2.3551194856785833e-15,0.5000000000000052,0.4999999999999917,0.0,5.4321952422645884e-17,0.0,5.4321952422645884e-17
55,1.1204488588464457e-16,1.008403972961801e-15,0.5000000000000057,0.49999999999999,0.0,1.5660023503721023e-15,0.0,1.5625009476882073e-15
60,2.099225427556744e-15,2.5190705130680925e-16,0.4999999999999896,0.5000000000000036,0.0,2.156954126814554e-15,0.0,2.156954126814554e-15
65,1.1468303601880373e-15,5.594294439941645e-16,0.5000000000000064,0.4999999999999884,0.0,1.6691101926669644e-15,0.0,1.6691101926669644e-15
70,1.6773538111027812e-16,1.2580153583270859e-15,0.5000000000000079,0.49999999999998906,0.0,8.364928511098504e-16,0.0,8.364928511098504e-16
75,5.309059204735806e-16,7.265028385427944e-16,0.4999999999999986,0.4999999999999986,0.0,6.108037687027461e-16,0.0,9.212265560849135e-16
80,8.379190853376503e-17,1.0055029024051804e-15,0.49999999999999944,0.49999999999999944,0.0,7.026300663508422e-17,0.0,7.026300663508422e-17
85,3.6296328371496583e-16,1.870656923761747e-15,0.4999999999999973,0.49999999999999717,0.0,1.550446526830515e-15,0.0,1.91166479475839e-15
90,1.9537722085264922e-16,1.2001743566662738e-15,0.4999999999999864,0.5000000000000112,0.0,4.4003485678643536e-16,0.0,4.4003485678643536e-16
95,5.580557640461783e-17,5.301529758438694e-16,0.4999999999999862,0.5000000000000125,0.0,2.929792761242436e-16,0.0,2.9210731399292145e-16
100,6.694889978234776e-16,1.3947687454655784e-15,0.499999999999984,0.5000000000000117,0.0,1.1049183655485128e-15,0.0,1.1049183655485128e-15
105,5.5777344658913e-17,1.5338769781201073e-15,0.5000000000000125,0.49999999999998374,0.0,1.1517150151055238e-15,0.0,1.1525865361158194e-15
110,5.855342419479628e-16,1.3104813986454407e-15,0.4999999999999986,0.49999999999999867,0.0,4.731325794311664e-16,0.0,4.731325794311664e-16
115,1.3938513156206817e-16,5.575405262482726e-17,0.5000000000000151,0.49999999999998346,0.0,6.869073514793173e-16,0.0,6.890852441599745e-16
120,8.91901934173744e-16,7.246703215161668e-16,0.49999999999999845,0.49999999999999845,0.0,8.570620148700821e-16,0.0,8.570620148700821e-16
125,2.5080528729398063e-16,2.2851148397896014e-15,0.4999999999999799,0.5000000000000135,0.0,1.861880917481009e-15,0.0,2.1257489801548846e-15
130,1.2259691357843315e-15,1.838953703676498e-15,0.5000000000000119,0.4999999999999765,0.0,4.179875593986281e-15,0.0,4.179875593986281e-15
135,1.6993951746149669e-15,2.228714983101596e-16,0.5000000000000151,0.49999999999997835,0.0,2.2966211427429727e-15,0.0,2.2966211427429727e-15
140,3.342627199996019e-16,8.078015733323714e-16,0.4999999999999979,0.49999999999999806,0.0,1.3783984820816917e-15,0.0,1.3792689579150243e-15
145,6.962943301763171e-16,9.469602890397913e-16,0.4999999999999991,0.499999999999999,0.0,9.79163901810446e-18,0.0,2.961426823031149e-16
150,1.949398575163085e-16,2.7848551073758355e-17,0.5000000000000197,0.4999999999999765,4.427702355811497e-29,1.7377060736414688e-15,4.427801757484169e-29,1.7383587740572599e-15
155,9.745938222052295e-16,7.518295199868913e-16,0.4999999999999773,0.50000000000002,0.0,3.983217161736105e-16,0.0,3.970164565902999e-16
160,4.73326132134723e-16,1.0301804052343972e-15,0.4999999999999765,0.5000000000000201,0.0,7.1738491901668965e-16,0.0,1.0586756824906696e-15
165,4.45440982972756e-16,1.3920030717898624e-16,0.4999999999999979,0.49999999999999817,0.0,1.7408738416571965e-15,0.0,1.7408738416571965e-15
170,1.1413402013556148e-15,3.6188835652739e-16,0.4999999999999977,0.4999999999999975,0.0,1.8346695767217922e-15,0.0,1.4743035870788325e-15
175,7.237155517199802e-16,8.072211923030548e-16,0.49999999999997535,0.5000000000000231,0.0,4.4144908954073304e-17,0.0,4.4144908954073304e-17
180,1.8091445045912628e-15,4.453278780532339e-16,0.4999999999999983,0.49999999999999817,0.0,5.65140212431814e-16,0.0,5.65140212431814e-16
185,7.792649692041478e-16,4.731251598739469e-16,0.5000000000000233,0.4999999999999729,0.0,1.2945713243977388e-15,0.0,1.2945713243977388e-15
190,3.617757275061374e-16,1.0296693782866988e-15,0.4999999999999993,0.4999999999999989,0.0,1.3392659143256047e-16,0.0,1.3392659143256047e-16
195,2.0870261163439396e-15,5.287132828071313e-16,0.5000000000000238,0.4999999999999702,0.0,1.7254923213981094e-15,0.0,1.7254923213981094e-15
200,1.9477655649751431e-16,1.6695133414072654e-16,0.4999999999999993,0.4999999999999991,0.0,5.717213656121235e-16,0.0,5.708518274134738e-16
205,1.3911758788951617e-16,1.3633523613172584e-15,0.4999999999999691,0.5000000000000231,3.178991499578803e-30,3.096670557928199e-15,0.0,3.2336144335069416e-15
210,1.9475325981252988e-16,3.6168462536612696e-16,0.49999999999999956,0.4999999999999993,0.0,2.508317654281914e-16,0.0,2.5039704833039554e-16
215,8.346104009121144e-17,1.0015324810945373e-15,0.49999999999996686,0.5000000000000253,0.0,3.2884519181771587e-15,0.0,3.2884519181771587e-15
220,1.3353057461041347e-15,4.172830456575421e-16,0.49999999999999906,0.4999999999999986,0.0,3.5925462212079015e-16,0.0,3.5925462212079015e-16
225,8.62341215990472e-16,7.510713816691208e-16,0.4999999999999985,0.4999999999999983,0.0,6.615339368636585e-16,0.0,9.008075454335954e-16
230,1.6689665398952413e-16,4.1724163497381036e-16,0.49999999999996797,0.5000000000000311,0.0,2.9532884475490015e-16,0.0,4.976475750468884e-17
235,5.56296340424715e-17,1.3072963999980803e-15,0.4999999999999989,0.4999999999999987,0.0,7.042798591080083e-16,0.0,4.539465059168866e-16
240,3.33762948501115e-16,5.562715808351917e-16,0.49999999999999967,0.4999999999999991,0.0,2.2663721047308785e-16,0.0,2.2663721047308785e-16
245,0.0,8.065593604975085e-16,0.4999999999999647,0.5000000000000316,0.0,1.4242986551888923e-15,0.0,1.4242986551888923e-15
250,0.0,1.2236950910972768e-15,0.4999999999999643,0.500000000000033,0.0,7.183124948806104e-16,0.0,7.176606686602105e-16
255,8.8992503105489e-16,3.337218866455838e-16,0.49999999999999906,0.49999999999999906,0.0,3.624011112791886e-16,0.0,3.624011112791886e-16
260,1.6407371713042447e-15,9.45509556344819e-16,0.49999999999996286,0.5000000000000342,0.0,1.6250945499676577e-16,0.0,1.1340900469025634e-16
265,1.5016369576358527e-15,1.112323672322854e-16,0.49999999999996214,0.5000000000000346,0.0,9.259225569218756e-16,0.0,6.434966244961511e-16
270,3.892996328120447e-16,1.9186910474307915e-15,0.49999999999999867,0.4999999999999987,0.0,1.1676816553374665e-16,0.0,1.1720265173108153e-16
275,4.1709265508316986e-16,5.283173631053484e-16,0.5000000000000371,0.49999999999996175,0.0,1.8356421538816589e-16,0.0,1.8356421538816589e-16
280,6.395212336575138e-16,4.726896074859885e-16,0.4999999999999989,0.4999999999999987,0.0,5.744612440242172e-16,0.0,5.744612440242172e-16
285,9.731538922056168e-16,1.9463077844112336e-16,0.5000000000000382,0.49999999999996037,0.0,3.1497168386119296e-16,0.0,9.666372366774542e-18
290,2.2242842424931507e-16,3.6144618940513703e-16,0.5000000000000392,0.49999999999995964,0.0,3.100747808748997e-16,0.0,3.100747808748997e-16
295,1.5569533178068537e-15,1.0008985614472632e-15,0.4999999999999558,0.5000000000000389,0.0,1.4072963931460107e-15,0.0,1.4072963931460107e-15
300,2.780194984516187e-17,1.251087743032284e-15,0.49999999999999617,0.49999999999999606,0.0,3.3032191659782942e-15,0.0,3.3032191659782942e-15
305,8.340356331005017e-17,1.5568665151209367e-15,0.500000000000041,0.49999999999995703,0.0,1.2912348538496048e-16,0.0,1.2912348538496048e-16
310,1.3900225168472348e-16,1.6958274705536266e-15,0.500000000000041,0.49999999999995626,0.0,3.9821973197490705e-16,0.0,3.9821973197490705e-16
315,4.725955182494731e-16,1.0563899819694106e-15,0.4999999999999545,0.5000000000000412,0.0,1.3367763854896632e-15,0.0,1.3367763854896632e-15
320,8.061722980664328e-16,7.227751637836984e-16,0.49999999999999817,0.4999999999999985,0.0,9.111788460500322e-16,0.0,9.109616660128373e-16
325,6.671609875945858e-16,4.1697561724661613e-16,0.4999999999999979,0.4999999999999981,0.0,1.3409458066089745e-15,0.0,1.3409458066089745e-15
330,2.779772456086086e-17,4.447635929737738e-16,0.5000000000000439,0.49999999999995287,0.0,1.2051833785195106e-15,0.0,1.5580841786085646e-15
335,1.3064634218801866e-15,1.223072139632515e-15,0.5000000000000442,0.4999999999999518,0.0,8.255519777721955e-16,0.0,8.251176481771557e-16
340,1.3620276272373703e-15,3.3355778626221314e-16,0.4999999999999971,0.499999999999997,0.0,1.9761561555899347e-15,0.0,1.9751789355129943e-15
345,5.003259852020853e-16,2.5016299260104264e-16,0.499999999999999,0.49999999999999833,0.0,1.099023355515518e-15,0.0,7.304021055673673e-16
350,1.3897655478630167e-16,2.7795310957260334e-16,0.49999999999999845,0.49999999999999806,0.0,1.5385138916577304e-15,0.0,1.5385138916577304e-15
355,1.9456325095459613e-16,3.6133175177282134e-16,0.5000000000000476,0.49999999999995054,0.0,5.72615282106328e-16,0.0,5.72615282106328e-16
360,6.392667133158156e-16,1.9455943448742217e-16,0.4999999999999977,0.4999999999999978,0.0,1.5805782629843147e-15,0.0,1.9643771474223937e-15
365,8.893975898692692e-16,7.226355417687812e-16,0.49999999999994726,0.5000000000000503,0.0,4.996347300510714e-16,0.0,4.996347300510714e-16
370,6.392426524106504e-16,6.948289700115765e-16,0.5000000000000484,0.4999999999999471,0.0,1.5262352594410538e-15,0.0,1.5262352594410538e-15
375,2.779265670154875e-16,8.893650144495599e-16,0.4999999999999973,0.49999999999999645,0.0,2.5700607894365767e-15,0.0,2.5703864846322975e-15
380,8.615572030319687e-16,1.6675300703844557e-16,0.5000000000000511,0.49999999999994565,1.8280291794607202e-28,1.1262341764432516e-15,2.130907085398245e-28,1.2799596048068187e-15
385,2.2233353361369633e-16,6.670006008410889e-16,0.5000000000000505,0.49999999999994466,0.0,2.023908235918037e-15,0.0,2.023908235918037e-15
390,1.389561389759314e-16,3.8907718913260786e-16,0.4999999999999447,0.5000000000000518,0.0,1.484768056854542e-15,0.0,1.484768056854542e-15
395,1.9453542958148973e-16,1.1116310261799414e-15,0.4999999999999448,0.500000000000053,0.0,4.0806845970804684e-16,0.0,4.0806845970804684e-16
400,3.0569368321576813e-16,7.781293754583189e-16,0.49999999999999906,0.4999999999999991,0.0,3.361979179400688e-16,0.0,3.365235859264493e-16
405,6.947476231409786e-16,9.170668625460919e-16,0.4999999999999981,0.49999999999999833,0.0,9.214090351907228e-16,0.0,9.21843252455186e-16
410,1.667369131091774e-16,6.669476524367096e-16,0.499999999999943,0.5000000000000551,0.0,4.105462274602271e-16,0.0,4.105462274602271e-16
415,4.446252197638983e-16,3.056798385876802e-16,0.4999999999999978,0.49999999999999795,0.0,1.735623202833245e-15,0.0,1.735623202833245e-15
420,6.947169178342057e-16,1.0559697151079926e-15,0.4999999999999419,0.5000000000000554,1.2086450255783031e-29,4.0109047053084214e-16,1.2049475981714013e-29,4.0065627245719583e-16
425,1.0003783179148312e-15,1.0281666045235765e-15,0.49999999999999795,0.49999999999999806,0.0,9.42522236811467e-16,0.0,9.427393328005977e-16
430,6.669097341974703e-16,4.446064894649802e-16,0.4999999999999396,0.5000000000000575,0.0,6.383620030623898e-16,0.0,1.097839363879104e-15
435,5.557506669758461e-17,9.447761338589384e-16,0.4999999999999378,0.500000000000057,0.0,2.2201804965476477e-15,0.0,1.9875684498036556e-15
440,2.2229735664016687e-16,1.2226354615209178e-15,0.4999999999999372,0.5000000000000543,3.8434822664196183e-29,3.697647339503869e-15,4.310444155013897e-29,3.2737844597773792e-15
445,1.9450769799176285e-16,8.613912339635212e-16,0.50000000000006,0.49999999999993844,0.0,2.7265811236345323e-16,0.0,2.7265811236345323e-16
450,6.390887256535473e-16,1.4448962493036726e-15,0.5000000000000596,0.4999999999999365,0.0,9.143484077624801e-16,0.0,9.143484077624801e-16
455,2.222890105648263e-16,8.057976632974955e-16,0.49999999999999867,0.49999999999999845,0.0,9.178104850274272e-16,0.0,9.178104850274272e-16
460,1.556004447810919e-15,1.6671476226545559e-16,0.4999999999999342,0.5000000000000603,0.0,1.9294845890579458e-15,0.0,1.9292675125445793e-15
465,1.1947751354475192e-15,2.5006921439599236e-16,0.4999999999999989,0.49999999999999684,5.864281439292951e-29,1.3615964820302622e-15,5.864088174431743e-29,1.3621391669573367e-15
470,3.0563664733230443e-16,5.279178453921622e-16,0.4999999999999343,0.5000000000000642,0.0,4.0787731558053977e-16,0.0,1.5694268183327846e-16
475,4.1677256946049837e-16,1.2781025463455284e-15,0.49999999999993266,0.5000000000000634,0.0,1.0635297937873498e-15,0.0,1.0635297937873498e-15
480,6.668287842001136e-16,3.056298594250521e-16,0.500000000000065,0.4999999999999335,0.0,1.6128052951194155e-16,0.0,4.181789234249736e-16
485,1.2502905161443027e-15,2.500581032288605e-16,0.49999999999993117,0.5000000000000638,0.0,1.6022603202984672e-15,0.0,1.861652189533266e-15
490,5.556788163687007e-17,1.8615240348351474e-15,0.5000000000000642,0.4999999999999299,0.0,2.0376698783832724e-15,0.0,2.0373442853268062e-15
495,5.83456731293268e-16,8.057259622621319e-16,0.5000000000000664,0.4999999999999306,0.0,8.34160795520844e-16,0.0,8.34160795520844e-16
500,6.390175714424003e-16,2.2226698137126973e-16,0.4999999999999295,0.5000000000000661,0.0,1.587776336651209e-15,0.0,1.8551912986135176e-15
