M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,U,V,W
5,0.010101010101009968,0.010101010101010222,0.010101010101009998,0.010101010101009989,0.11111111111111106,0.4141414141414139,0.010101010101009956,0.414141414141415,0.010101010101009956
10,2.170855438008519e-15,1.972686061924754e-15,4.323695478191241e-15,5.440650143390645e-15,3.1526946195144466e-15,0.49999999999998307,9.241899084633779e-15,0.4999999999999814,9.241899084633779e-15
15,3.903124888160808e-15,4.09783860140239e-15,9.700283168762462e-15,8.47889714933799e-15,6.000722617172399e-15,0.49999999999995504,3.067626045887837e-14,0.49999999999995265,2.9366368206162275e-14
20,1.1551003528660675e-15,8.750760248985361e-16,2.747738718181403e-15,3.2202797716266126e-15,2.485215910711842e-15,0.49999999999998745,6.4755625842491655e-15,0.49999999999998745,8.173210072552326e-15
25,2.2227712179066544e-15,2.3443290188859246e-15,5.05333144070966e-15,2.292232818466237e-15,1.99702101608801e-15,0.49999999999995826,3.563380108706606e-14,0.49999999999995376,3.846436130986906e-14
30,4.437686842005115e-15,4.334083258145073e-15,9.73873688284391e-15,9.963211314540666e-15,7.0277764385061544e-15,0.49999999999990863,7.150374012740538e-14,0.49999999999991296,7.150374012740538e-14
35,8.596685054568247e-17,4.298342527284123e-16,3.6106077229186635e-16,2.579005516370474e-16,1.7193370109136494e-16,0.49999999999999095,6.447513790926185e-15,0.49999999999999095,1.0230055214936214e-14
40,5.226422390000672e-15,5.432052123377748e-15,1.1720894802493308e-14,1.0247215046624267e-14,7.539756890492771e-15,0.4999999999998543,1.2063611024788434e-13,0.4999999999998542,1.3059201650555775e-13
45,4.118629908052566e-15,3.5204886350988734e-15,8.305618818728411e-15,9.724068123161453e-15,6.408656495932416e-15,0.4999999999998959,8.637159981451315e-14,0.4999999999998959,8.984081919764457e-14
50,2.5237073884384536e-15,2.5237073884384536e-15,5.661289547037614e-15,6.13874770160705e-15,4.075446390789125e-15,0.49999999999996003,3.173391520191867e-14,0.4999999999999431,4.413077514377512e-14
55,6.723177260978437e-15,6.433825328227466e-15,1.59824391090095e-14,1.295275416608757e-14,1.038262817518189e-14,0.49999999999975187,2.1195880109104934e-13,0.49999999999976646,2.172352186882729e-13
60,2.939992173143744e-15,3.619759149593164e-15,7.375471694476212e-15,6.644722194793086e-15,4.3335144748650555e-15,0.499999999999873,1.0945947738276793e-13,0.49999999999988326,1.0945947738276793e-13
65,2.1553748507941645e-15,1.7310884628425573e-15,4.2428638795160715e-15,4.0222349577812354e-15,2.7833187049625424e-15,0.4999999999999631,2.47104392343016e-14,0.4999999999999727,2.47104392343016e-14
70,2.441056675024619e-15,2.6105744996791065e-15,6.441677336870522e-15,6.7637612037140485e-15,4.593933048136609e-15,0.4999999999999486,3.8938244323135757e-14,0.4999999999999483,4.1328445650764034e-14
75,2.049084523697706e-15,1.964411609495322e-15,6.2319264852955035e-15,4.9110290237383036e-15,4.148972795916843e-15,0.4999999999998975,6.575698516957184e-14,0.49999999999995165,6.575698516957184e-14
80,5.0758256575558425e-17,2.1995244516075317e-16,4.568243091800257e-16,8.459709429259737e-16,4.3990489032150634e-16,0.4999999999999825,7.799852093777477e-15,0.5000000000000039,3.7222721488742845e-15
85,3.1276007623149337e-15,3.0937888621817987e-15,6.728568126493748e-15,8.030326281619424e-15,5.663493272300015e-15,0.4999999999998828,1.1369251419766447e-13,0.4999999999998828,9.40308942702468e-14
90,2.7368130597578282e-15,2.618555705323848e-15,6.89271437272342e-15,6.335215416106084e-15,4.628930730701512e-15,0.4999999999999071,7.032933807266567e-14,0.49999999999992906,7.032933807266567e-14
95,6.753230854852094e-17,1.3506461709704189e-15,1.4012954023818097e-15,1.5363600194788514e-15,7.935046254451211e-16,0.4999999999999411,3.9388218960924843e-14,0.49999999999998423,3.0153175766914605e-14
100,9.111573528663226e-16,9.617772058033406e-16,1.6704551469215912e-15,9.95523774428019e-16,5.061985293701793e-16,0.49999999999985767,1.5493049655589951e-13,0.49999999999985767,1.2471044435249983e-13
105,1.4672016825838661e-15,1.1467783266172747e-15,3.777622722974552e-15,3.27169110829046e-15,2.715166332137959e-15,0.49999999999991646,7.732321511088537e-14,0.49999999999991657,7.732321511088537e-14
110,9.945198306566737e-16,4.888317811702295e-16,2.7475717355430135e-15,1.9890396613133474e-15,1.1125137088701774e-15,0.4999999999999809,6.742507326485923e-16,0.49999999999999967,1.132741230849635e-14
115,4.2122075143002613e-16,2.864301109724178e-16,1.3310575745188826e-15,2.274592057722141e-15,1.3816040646904858e-15,0.49999999999999567,5.526416258761943e-15,0.49999999999998734,5.661206899219552e-15
120,2.206300733554208e-15,2.7789284048583536e-15,5.473646858054333e-15,4.6147053510981145e-15,3.570501950484672e-15,0.4999999999998891,9.077832789203954e-14,0.4999999999998891,1.1250449542093215e-13
125,6.3975583106923336e-15,7.407699096591122e-15,1.601073145649581e-14,1.4057792603758153e-14,1.0808506409117046e-14,0.4999999999995899,3.68819236611413e-13,0.4999999999995899,3.965812725438647e-13
130,2.743263803727847e-15,2.9788815537412822e-15,6.698276036096215e-15,5.890443750335868e-15,3.955012232368369e-15,0.49999999999975453,2.209926196733151e-13,0.4999999999997767,2.255703359592904e-13
