M,X_{cj},X_{rj},Y_{cj},Y_{rj},U,W
5,0.16666666666666666,0.16666666666666663,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
10,6.137340859374067e-16,6.721849512647789e-16,0.4999999999999992,0.4999999999999993,1.278612679036264e-16,1.0959537248882263e-16
15,5.744150744782792e-17,1.579641454815268e-15,0.499999999999999,0.49999999999999883,3.266985736095213e-16,3.266985736095213e-16
20,2.8472901405829934e-16,3.701477182757891e-16,0.500000000000001,0.4999999999999974,3.8972283799229726e-16,6.264038309282585e-16
25,4.532165826556057e-16,8.214550560632853e-16,0.4999999999999966,0.5000000000000016,2.407713095357905e-16,2.407713095357905e-16
30,8.186406030507017e-16,8.186406030507017e-16,0.49999999999999417,0.5000000000000001,2.0801234288723653e-15,2.0801234288723653e-15
35,4.505618157003188e-16,4.505618157003188e-16,0.4999999999999958,0.5000000000000027,2.85121148997858e-16,2.85121148997858e-16
40,5.059568604293999e-16,1.0681311497953997e-15,0.4999999999999987,0.49999999999999883,4.45347444857128e-16,4.45347444857128e-16
45,1.1227557333796186e-16,1.0104801600416568e-15,0.4999999999999939,0.5000000000000026,1.2411713771345e-15,1.2411713771345e-15
50,1.2055968795735596e-15,5.327055979511078e-16,0.4999999999999973,0.49999999999999756,1.659448030459536e-15,1.659448030459536e-15
55,6.722693153078686e-16,1.4005610735580593e-16,0.4999999999999991,0.49999999999999944,3.3350860564101287e-16,3.29131852286144e-16
60,2.798967236742349e-16,8.956695157575517e-16,0.500000000000005,0.4999999999999937,2.0379980192530227e-16,2.536564058297754e-17
65,2.517432497973746e-16,1.1748018323877482e-15,0.499999999999992,0.5000000000000047,9.79875635496031e-16,9.79875635496031e-16
70,2.2364717481370444e-16,1.6773538111027832e-16,0.5000000000000051,0.49999999999999134,1.6463402380329142e-15,1.6463402380329142e-15
75,5.588483373406114e-17,6.426755879417031e-16,0.4999999999999918,0.5000000000000063,5.636509402396323e-16,5.636509402396323e-16
80,4.189595426688249e-16,6.703352682701198e-16,0.4999999999999993,0.4999999999999993,1.7282081135089025e-16,1.7282081135089025e-16
85,5.584050518691813e-17,1.9544176815421347e-16,0.4999999999999986,0.49999999999999867,1.3728911704939949e-15,1.1163738497915898e-15
90,5.861316625579459e-16,8.373309465113512e-17,0.5000000000000073,0.49999999999998945,1.382032171611704e-15,1.111207943599439e-15
95,1.395139410115443e-15,2.232223056184709e-16,0.4999999999999985,0.4999999999999986,6.456879582440535e-16,6.452519771783925e-16
100,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
105,3.3466406795347857e-16,2.788867232945655e-16,0.4999999999999993,0.4999999999999992,3.8041892099399316e-16,6.972168082364137e-16
110,5.576516589980604e-16,8.364774884970906e-16,0.4999999999999989,0.499999999999999,2.8841046738805936e-16,2.8841046738805936e-16
115,3.0664728943654984e-16,4.46032420998618e-16,0.4999999999999994,0.4999999999999989,4.2207560151138753e-16,4.2207560151138753e-16
120,1.5608283848040515e-15,3.344632253151539e-16,0.49999999999999845,0.49999999999999817,8.021891419668143e-16,8.021891419668143e-16
125,2.2293803315020597e-16,2.786725414377574e-16,0.5000000000000112,0.49999999999998695,5.508136951855674e-16,5.508136951855674e-16
130,5.572586980837926e-17,1.6160502244429986e-15,0.49999999999999767,0.49999999999999795,1.4025069499038577e-15,1.4025069499038577e-15
135,4.1788405933155236e-16,2.785893728877016e-16,0.4999999999999992,0.4999999999999991,5.008079273551573e-16,5.008079273551573e-16
140,2.785522666663351e-16,1.3927613333316755e-16,0.5000000000000124,0.4999999999999849,1.034342908957102e-15,1.034342908957102e-15
145,6.127390105551591e-16,0.0,0.49999999999999967,0.4999999999999998,5.962020202134717e-17,5.962020202134717e-17
150,8.91153634360269e-16,3.341826128851008e-16,0.49999999999999845,0.4999999999999985,9.890586967289508e-16,9.886235631184232e-16
155,1.0024393599825235e-15,6.126018311004311e-16,0.4999999999999981,0.4999999999999979,1.0252814026904585e-15,1.2624035603252135e-15
160,5.29011559444692e-16,4.454834184797408e-16,0.4999999999999833,0.5000000000000148,4.0393686919769457e-16,6.462554864762254e-16
165,3.34080737229568e-16,2.004484423377408e-15,0.4999999999999987,0.49999999999999833,8.678269150689949e-17,3.384307468289113e-16
170,9.46477240148559e-16,6.681015812813357e-16,0.49999999999999845,0.4999999999999987,7.015936527387985e-16,7.002887668378584e-16
