M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,V
5,0.012987012987012757,0.012987012987012797,0.012987012987012964,0.012987012987012991,0.14285714285714302,0.4025974025974027,0.4025974025974029
10,1.3689243624148977e-15,1.1775693440128152e-15,3.8467265237751956e-15,3.3364464747029764e-15,4.180371171245493e-15,0.49999999999999284,0.4999999999999932
15,1.4719616800160368e-17,2.845792581364338e-16,2.747661802696602e-16,7.654200736083392e-16,3.0420541386998097e-16,0.499999999999999,0.4999999999999993
20,1.6804895846849486e-15,1.5823588060172144e-15,4.543455052316094e-15,4.121492704044838e-15,5.328501281657969e-15,0.49999999999999134,0.49999999999999134
25,8.782704690762279e-16,5.765183246729429e-16,2.728035646963032e-15,2.8457925813643136e-15,2.7182225690962586e-15,0.4999999999999951,0.4999999999999951
30,6.476631392070538e-16,1.1530366493458913e-16,8.831770080096189e-16,1.4032701349486166e-15,1.88411095042052e-15,0.4999999999999975,0.4999999999999975
35,1.7320082434854967e-15,2.7231291080296052e-15,6.67289294940588e-15,6.447192158470092e-15,7.42849994514743e-15,0.49999999999998745,0.49999999999998745
40,1.2536206974803107e-15,1.233994541746764e-15,2.845792581364306e-15,2.8752318149646267e-15,4.2686888720464596e-15,0.4999999999999937,0.4999999999999937
45,1.0328264454779082e-15,1.4621486021492477e-15,3.493455720571357e-15,2.8654187370978546e-15,4.092053470444539e-15,0.49999999999999356,0.49999999999999356
50,1.0622656790782328e-15,1.1358637630790342e-15,2.355138688025643e-15,1.589718614417309e-15,1.8154194053531e-15,0.49999999999999606,0.49999999999999606
55,3.3609791693699506e-16,2.6740637186958e-16,1.5700924586837725e-16,3.140184917367545e-16,9.813077866773579e-16,0.499999999999999,0.499999999999999
60,1.5700924586837568e-15,1.5136672609498093e-15,3.2971941632358896e-15,2.3943909994927294e-15,2.3355125322920885e-15,0.49999999999999445,0.49999999999999445
65,1.8556686972460644e-15,8.520927691436012e-17,1.9101079574969055e-15,1.7041855382872021e-15,7.384803999244544e-16,0.49999999999999684,0.49999999999999684
70,1.1824758829462067e-15,6.353967918735841e-16,2.3649517658924135e-15,2.433643310959828e-15,3.0126149050994645e-15,0.4999999999999951,0.4999999999999951
75,3.7044368947069784e-16,1.837498830553329e-15,4.2294365605793586e-15,2.7182225690962464e-15,4.288315027779999e-15,0.4999999999999932,0.4999999999999932
80,1.7908867106861774e-16,2.281540604024856e-16,6.378500613402824e-16,1.7663540160192435e-16,1.4719616800160365e-16,0.4999999999999994,0.4999999999999994
85,1.6559568900180097e-15,2.185863094823773e-15,5.505136683259872e-15,5.357940515258273e-15,6.2705567568681974e-15,0.49999999999998945,0.49999999999998945
90,5.789715941396382e-16,2.894857970698191e-16,1.9135501840208383e-15,1.5897186144173118e-15,2.090185585622762e-15,0.4999999999999968,0.4999999999999968
95,1.5700924586837722e-16,4.415885040048109e-17,3.728969589373959e-16,5.887846720064146e-16,6.967285285409239e-16,0.49999999999999906,0.49999999999999906
100,1.2143683860132265e-15,7.065416064076953e-16,3.925231146709419e-17,1.4130832128153906e-15,1.0303731760112225e-15,0.4999999999999978,0.4999999999999978
105,3.876165757375561e-16,3.9252311467094287e-17,9.224293194767158e-16,1.2757001226805645e-16,6.574762170738294e-16,0.499999999999999,0.49999999999999883
110,7.359808400080166e-18,1.521027069349901e-16,1.4327093685489388e-15,1.0598124096115437e-15,1.5897186144173156e-15,0.4999999999999979,0.4999999999999979
115,1.4646018716159424e-15,7.997658461420389e-16,3.2481287739020228e-15,2.8556056592310837e-15,3.552334187772001e-15,0.49999999999999406,0.49999999999999406
120,2.8703252760312625e-16,7.948593072086572e-16,1.7467278602856914e-15,7.752331514751102e-16,1.3149524341476555e-15,0.49999999999999756,0.4999999999999974
125,1.417989751748759e-15,1.4228962906821454e-15,5.328501281657966e-15,4.641585830983827e-15,5.3383143595247395e-15,0.4999999999999909,0.4999999999999909
130,8.463779660092146e-16,1.2904197394807156e-15,2.904671048564957e-15,2.1196248192230764e-15,2.3943909994927345e-15,0.4999999999999952,0.4999999999999952
135,1.7589942076191366e-15,1.6436905426845487e-15,4.975230478454127e-15,4.249062716312893e-15,4.484576585115456e-15,0.49999999999999145,0.49999999999999145
140,1.34193839828127e-15,1.538199955616739e-15,3.817287290174874e-15,3.473829564837803e-15,4.2588757941796796e-15,0.4999999999999928,0.4999999999999928
145,2.5023348560272626e-16,3.4345772533707526e-16,0.0,2.55140024536113e-16,4.710277376051318e-16,0.4999999999999994,0.4999999999999994
150,1.668223237351483e-15,1.4376159074823075e-15,4.680838142450926e-15,4.415885040048044e-15,4.180371171245481e-15,0.49999999999999184,0.49999999999999184
155,1.3633484306297611e-15,1.8935394869857792e-17,3.503048050923692e-16,2.7124953151071287e-15,1.7420563280269171e-15,0.49999999999999684,0.49999999999999684
160,1.3542047456147395e-15,1.4817747578827949e-15,3.552334187771998e-15,3.1696241509678326e-15,3.405138019770396e-15,0.49999999999999356,0.49999999999999356
165,4.906538933386758e-16,5.716117857395573e-16,1.7172886266853654e-15,2.777101036296905e-15,2.1981294421572673e-15,0.49999999999999606,0.49999999999999606
170,2.624998329361923e-16,3.974296536043286e-16,1.295326278414108e-15,7.7523315147511e-16,1.7467278602856912e-15,0.4999999999999975,0.49999999999999795
175,2.4017508078927698e-15,2.0435734657555437e-15,7.614948424616096e-15,7.232238387811937e-15,8.733639301428254e-15,0.4999999999999861,0.49999999999998584
180,6.353967918735878e-16,4.832940849385976e-16,6.771023728073755e-16,7.948593072086581e-16,9.51868553077035e-16,0.4999999999999983,0.4999999999999983
185,5.568921689393972e-16,9.10162972143244e-16,1.6093447701508572e-15,2.325699454425324e-15,1.9331763397543833e-15,0.4999999999999964,0.4999999999999964
190,1.4719616800160308e-16,8.782704690762316e-16,5.299062048057711e-16,1.6289709258844071e-15,1.8742978725537456e-15,0.4999999999999975,0.4999999999999975
195,4.538548513382777e-16,7.359808400080177e-17,1.2757001226805642e-16,1.000933942410904e-15,7.55606995741565e-16,0.4999999999999987,0.4999999999999987
