M,X,Y_{cj},Y_{rj},T,U,V,W
5,0.14285714285714296,0.012987012987013151,0.012987012987013059,0.22077922077922055,0.19480519480519481,0.2207792207792207,0.19480519480519481
10,1.0586120043781982e-15,0.5000000000000001,0.49999999999999495,0.0,1.8670442186592056e-15,0.0,1.8670442186592056e-15
15,3.9296204818723374e-16,0.49999999999999795,0.4999999999999992,5.584556888276527e-33,1.4081140060042542e-15,1.309809815446701e-32,1.1768394672273927e-15
20,5.21209937095468e-16,0.4999999999999981,0.49999999999999956,0.0,8.70379875423096e-16,0.0,8.70379875423096e-16
25,1.0390972895378568e-15,0.5000000000000038,0.49999999999999495,0.0,2.222288148523346e-16,0.0,2.222288148523346e-16
30,1.2960856853149592e-16,0.4999999999999903,0.5000000000000049,0.0,2.2782756187177023e-15,0.0,2.2782756187177023e-15
35,1.1646789937369242e-15,0.4999999999999964,0.4999999999999964,5.018258139320082e-32,3.1189537288875097e-15,1.2077664254371876e-32,2.7822887072604304e-15
40,7.109218272196992e-16,0.5000000000000022,0.49999999999999495,1.804002890622808e-32,1.083549887225479e-15,6.421368085818516e-32,1.1592872977957596e-15
45,0.0,0.49999999999999506,0.5000000000000009,5.298732971562275e-32,2.026410194634604e-15,2.7533308423659207e-32,2.0869452265878407e-15
50,1.484046975100096e-15,0.49999999999998856,0.5000000000000078,0.0,1.1589076072537774e-15,0.0,1.1589076072537774e-15
55,3.8691206976966305e-16,0.5000000000000001,0.49999999999999767,0.0,9.395716277609655e-16,0.0,9.395716277609655e-16
60,7.734393834800504e-16,0.49999999999999317,0.5000000000000004,8.352530893182873e-33,2.6959599343438738e-15,1.8615603739621447e-32,2.8132850491556263e-15
65,1.2885225788103367e-16,0.499999999999997,0.5000000000000024,0.0,2.053582859978974e-16,0.0,2.053582859978974e-16
70,7.7283406206353365e-16,0.5000000000000021,0.4999999999999945,0.0,1.2246602259522401e-15,0.0,1.2246602259522401e-15
75,6.438264132658367e-16,0.5000000000000028,0.4999999999999898,4.3991444737838557e-32,3.3612265676944954e-15,1.328845250159703e-32,3.596374105352135e-15
80,3.2182479819362596e-16,0.4999999999999951,0.49999999999999994,4.8183276190826686e-32,2.505204913438507e-15,1.1466073824583154e-32,2.2696191041358295e-15
85,3.2174675554173366e-16,0.5000000000000154,0.4999999999999814,0.0,1.3360031294564954e-15,0.0,1.3360031294564954e-15
90,1.9300641407029664e-16,0.49999999999998046,0.5000000000000149,0.0,2.2381707339974762e-15,0.0,2.2381707339974762e-15
95,8.361996275379728e-16,0.5000000000000241,0.4999999999999674,0.0,3.772948800213401e-15,0.0,3.772948800213401e-15
100,3.8587118396886333e-16,0.500000000000002,0.49999999999999506,7.057001852332474e-33,1.4048122791366428e-15,1.9427998619475896e-32,1.1686671535306979e-15
105,1.2860348408795812e-16,0.5000000000000011,0.4999999999999981,0.0,3.2226224625947316e-16,0.0,3.2226224625947316e-16
110,1.9287761381909137e-16,0.49999999999999073,0.5000000000000069,0.0,1.1683159628729336e-15,0.0,1.1683159628729336e-15
115,5.142730580877502e-16,0.5000000000000093,0.49999999999998956,3.941330941483767e-32,2.0088791331552741e-16,1.947429418611888e-34,3.2644285913773205e-16
120,8.355935307350566e-16,0.5000000000000134,0.49999999999998507,0.0,2.975295474522362e-16,0.0,2.975295474522362e-16
125,8.355013395491337e-16,0.4999999999999958,0.5000000000000016,6.627005775776115e-32,7.4713100555836e-16,2.3362344780181864e-32,9.831199656473579e-16
130,6.42627865407209e-16,0.5000000000000001,0.49999999999999617,0.0,1.63267642055019e-15,0.0,1.63267642055019e-15
135,3.2128361635417944e-16,0.5000000000000001,0.4999999999999966,1.4447797113550973e-32,1.374491471215224e-15,1.0048918906588153e-32,1.609932121324771e-15
140,3.8550655349112076e-16,0.5000000000000002,0.4999999999999974,0.0,7.546993530910157e-16,0.0,1.2694610335664641e-15
145,1.0921794303860905e-15,0.49999999999997957,0.5000000000000133,0.0,2.9922002179442454e-15,0.0,2.9922002179442454e-15
150,5.781685893636117e-16,0.4999999999999518,0.49999999999994166,1.5551852640086173e-31,5.289100810089545e-14,9.647241374298266e-32,5.303479742455228e-14
155,5.7812737609193295e-16,0.4999999999999638,0.49999999999995676,1.8048409152669114e-31,3.938768765300642e-14,1.1986284400275929e-32,3.947525989877729e-14
160,3.211604079543658e-16,0.49999999999997347,0.4999999999999687,1.0424238741154447e-32,2.881649396355854e-14,4.7091202277343076e-33,2.866344095664279e-14
165,6.422804785106714e-17,0.49999999999999467,0.5000000000000037,0.0,7.894279397007141e-16,0.0,7.894279397007141e-16
170,1.92672753039051e-16,0.49999999999995776,0.5000000000000304,0.0,5.867361994402089e-15,0.0,5.867361994402089e-15
175,2.568826832292078e-16,0.4999999999999522,0.49999999999994754,1.0107955694375484e-31,4.992053362488225e-14,1.0696743281588784e-32,5.0088736592758406e-14
180,5.779556028653015e-16,0.4999999999999712,0.500000000000005,0.0,1.160464111195883e-14,0.0,1.160464111195883e-14
185,7.705690815661579e-16,0.49999999999997446,0.49999999999995653,3.7103247277286477e-32,3.410320025767307e-14,1.542171519347927e-33,3.404563332921622e-14
190,6.421105919141909e-16,0.5000000000000331,0.499999999999924,0.0,2.118388057081907e-14,0.0,2.118388057081907e-14
195,1.155747302499418e-15,0.4999999999999699,0.4999999999999958,2.1575191976527634e-32,1.649686310784407e-14,2.2314173788145078e-32,1.659029103106044e-14
200,3.210272567464813e-16,0.49999999999994954,0.4999999999999592,9.9854772320276e-32,4.557458434350535e-14,3.009554156131246e-33,4.553069389824705e-14
205,8.346370802660906e-16,0.499999999999952,0.4999999999999583,3.8633693988169165e-32,4.4355142432650477e-14,7.098847551581394e-33,4.449257666341544e-14
210,7.704045229666035e-16,0.4999999999999117,0.49999999999990086,2.3250554409738556e-32,9.343098407068047e-14,1.1504655027532556e-32,9.319562448578329e-14
215,1.7333464452994935e-15,0.49999999999994243,0.5000000000000291,0.0,1.3312938283396537e-14,0.0,1.3312938283396537e-14
220,3.851745794024837e-16,0.4999999999999072,0.4999999999999465,0.0,7.30511424718525e-14,0.0,7.30511424718525e-14
225,3.20968050017529e-16,0.4999999999999888,0.4999999999999756,9.414990884207816e-32,1.7732230982023097e-14,6.004255572017037e-32,1.7625032668443025e-14
230,8.986817040028093e-16,0.4999999999999676,0.49999999999981765,0.0,1.068776774848319e-13,0.0,1.068776774848319e-13
235,1.2837915623049996e-16,0.5000000000000319,0.49999999999990075,0.0,3.3522631059880025e-14,0.0,3.3522631059880025e-14
240,1.2837537606271867e-16,0.49999999999996003,0.49999999999996175,2.579607157186596e-32,3.890501020853856e-14,7.074450369731025e-33,3.9025738223331914e-14
245,8.986022501351516e-16,0.49999999999991224,0.4999999999999021,2.3644364187988014e-32,9.228637587105781e-14,3.51424246565427e-33,9.240459321506971e-14
250,3.8510480658861175e-16,0.4999999999999139,0.4999999999999276,7.903014779367287e-33,7.915232587554122e-14,2.040308357440441e-33,7.903561605297156e-14
255,5.13459696331198e-16,0.49999999999992406,0.4999999999999913,0.0,4.2106327582952907e-14,0.0,4.2106327582952907e-14
260,5.134468312754258e-16,0.49999999999997635,0.49999999999995204,4.220070914564931e-32,3.5323286763940975e-14,5.388077588212689e-32,3.567026450538882e-14
265,1.7970205792841743e-15,0.49999999999994377,0.49999999999994754,0.0,5.3377753645089336e-14,0.0,5.3377753645089336e-14
270,1.3477341392621849e-15,0.4999999999998784,0.49999999999987016,3.368371029548135e-32,1.2493966776797844e-13,1.324030165153794e-32,1.2517557138126819e-13
275,1.9252914013891786e-16,0.4999999999999679,0.4999999999999278,6.871501559273824e-32,5.198587610532249e-14,5.595586830769004e-32,5.2117237133229786e-14
280,9.626249277166803e-16,0.49999999999995526,0.4999999999999492,4.2346259573577295e-32,4.721512326126615e-14,3.3224081676181075e-33,4.734911363206422e-14
285,8.342575651879885e-16,0.4999999999998506,0.499999999999874,5.798196279986873e-32,1.373281204647461e-13,8.909784947187661e-32,1.37229102514551e-13
290,1.9251710574417482e-16,0.4999999999999754,0.49999999999996325,7.219022387124066e-33,3.055406899081508e-14,2.2691928742480314e-34,3.041670001432054e-14
295,9.625668299911616e-16,0.4999999999998167,0.4999999999998031,6.109904389795071e-32,1.895701424476226e-13,8.906609148902652e-33,1.8980545745065759e-13
300,7.700390032149577e-16,0.49999999999998307,0.4999999999999807,3.358797876532822e-32,1.7936807767839694e-14,4.325173600938628e-33,1.760812494135349e-14
305,3.8501250808230553e-16,0.49999999999998085,0.4999999999999358,0.0,4.144486694668405e-14,0.0,4.144486694668405e-14
310,9.625143499343042e-16,0.4999999999998507,0.49999999999980665,1.3205129049307143e-31,1.7090670491498852e-13,1.3567519231926627e-32,1.7081872508768987e-13
315,8.341649041628687e-16,0.4999999999999285,0.4999999999999064,4.6982015447937293e-32,8.207732739293466e-14,2.3099701320976008e-32,8.216267389229388e-14
320,3.2082736477329105e-16,0.4999999999998952,0.49999999999987094,0.0,1.1680277902764333e-13,0.0,1.1680277902764333e-13
325,6.416444735289974e-17,0.4999999999999907,0.49999999999998956,2.2055682592880503e-31,9.87643736608335e-15,3.7816702309708664e-33,9.796482449264699e-15
330,4.491441696273154e-16,0.49999999999977857,0.4999999999997799,5.009648582370115e-33,2.2038015610996525e-13,2.37966433041066e-33,2.2061506703238895e-13
335,6.416248792119581e-17,0.5000000000000006,0.499999999999978,1.2454313595662524e-32,1.0727479242722977e-14,7.733462868338218e-33,1.0651098312277726e-14
340,1.9248465419058813e-16,0.49999999999991485,0.4999999999999028,5.19516662937637e-33,9.108553037506633e-14,3.0315711378932026e-32,9.101197015891408e-14
345,8.982489879367264e-16,0.4999999999998086,0.5000000000000074,0.0,9.148944138669211e-14,0.0,9.148944138669211e-14
350,1.9247927568103228e-16,0.49999999999992095,0.4999999999999101,1.6519602181257689e-31,8.441350312470631e-14,3.9389123653629766e-33,8.434508275717907e-14
355,7.057478998909569e-16,0.4999999999999754,0.5000000000000182,0.0,2.7738699417589175e-15,0.0,2.7738699417589175e-15
360,6.415806525356015e-17,0.4999999999998368,0.4999999999997804,4.271281638991062e-32,1.9116672456369677e-13,3.0902321343183766e-35,1.914022423051891e-13
365,1.860560347691679e-15,0.4999999999998853,0.49999999999997086,0.0,7.103423427126931e-14,0.0,7.103423427126931e-14
370,0.0,0.49999999999990036,0.4999999999999187,1.987230189288378e-32,9.06632952081568e-14,6.244914245793792e-33,9.042822191643315e-14
375,7.057126395910384e-16,0.5000000000000552,0.49999999999989364,0.0,2.522647017538122e-14,0.0,2.522647017538122e-14
380,5.773945123962461e-16,0.5000000000000252,0.49999999999984956,0.0,6.228185947880267e-14,0.0,6.228185947880267e-14
385,1.283084331429035e-16,0.4999999999998344,0.5000000000000228,0.0,7.12458261772841e-14,0.0,7.12458261772841e-14
