M,X,Y_{cj},Y_{rj},Z,T,U,V,W
5,0.12499999999999956,0.020833333333333485,0.020833333333333558,0.12500000000000022,0.1944444444444441,0.15972222222222246,0.19444444444444417,0.15972222222222246
10,0.051546391752577726,0.05154639175257881,0.05154639175257973,0.04123711340206377,0.006872852233677191,0.39518900343642277,0.0068728522336771805,0.39518900343642277
15,0.038363171370215145,0.03836317137021447,0.038363171370212966,0.03069053709617138,0.005115089516028945,0.42199488488056414,0.005115089516028854,0.42199488488056414
20,0.030549898167006574,0.030549898167005384,0.030549898167007664,0.024439918533605248,0.004073319755601107,0.4378818737270865,0.004073319755601036,0.4378818737270865
25,0.025380710659898505,0.025380710659898616,0.025380710659901023,0.020304568527919852,0.0033840947546527923,0.4483925549915381,0.003384094754652809,0.44839255499153824
30,0.0217076700245671,0.02170767002456751,0.02170767002456725,0.017366136019653543,0.0028943560032754084,0.45586107095004685,0.0028943560032754084,0.4558610709500469
35,0.018963337564189844,0.01896333756419065,0.01896333756418977,0.015170670051352647,0.0025284450085585226,0.46144121361948004,0.0025284450085585226,0.46144121361948004
40,0.016835016835019145,0.0168350168350205,0.016835016835017754,0.013468013468015237,0.002244668911336234,0.4657687991021273,0.0022446689113365054,0.4657687991021273
45,0.015136226020562898,0.015136226020563031,0.015136226020562842,0.012108980816450456,0.0020181634694083394,0.4692230070915222,0.00201816346940827,0.46922300709152187
50,0.013748854262143314,0.01374885426214284,0.013748854262145727,0.010999083409714878,0.001833180568285335,0.4720439963336413,0.0018331805682852175,0.4720439963336413
55,0.012594458449919937,0.012594458449920146,0.012594458449920427,0.010075566759935765,0.0016792611266557066,0.4743912678184961,0.0016792611266557636,0.47439126781849617
60,0.011618900099060275,0.01161890009906086,0.011618900099060607,0.00929512007924826,0.0015491866798745771,0.47637490313191055,0.0015491866798745771,0.47637490313191033
65,0.01078360892452901,0.01078360892453081,0.010783608924529401,0.008626887139624038,0.001437814523270803,0.4780733285201226,0.001437814523270803,0.4780733285201226
70,0.0100603621824854,0.010060362182486014,0.01006036218248544,0.008048289745989234,0.0013413816243316536,0.4795439302289453,0.0013413816243316536,0.4795439302289454
75,0.009428032661624463,0.009428032661623889,0.009428032661624569,0.0075424261292996045,0.0012570710215498218,0.4808296669213639,0.0012570710215498962,0.4808296669213639
80,0.008870490833827606,0.008870490833828314,0.008870490833829082,0.0070963926670627574,0.0011827321111770907,0.48196333530454905,0.0011827321111770907,0.48196333530454905
85,0.00837520939216064,0.008375209392160911,0.008375209392160701,0.006700167513729676,0.001116694585622217,0.4829704075692719,0.0011166945856220844,0.4829704075692719
90,0.00793231093903615,0.007932310939034817,0.007932310939036543,0.006345848751228877,0.0010576414585377898,0.4838709677572887,0.0010576414585375543,0.4838709677572996
95,0.007533902568717566,0.007533902568718204,0.007533902568718898,0.006027122054975352,0.0010045203424957363,0.48468106477693923,0.0010045203424957434,0.48468106477693923
100,0.007173601147775785,0.007173601147776727,0.007173601147775216,0.005738880918220774,0.0009564801530368643,0.485413677666182,0.0009564801530369624,0.4854136776661957
105,0.006846188938411715,0.006846188938413108,0.006846188938412345,0.005476951150730664,0.0009128251917885744,0.4860794158252275,0.0009128251917885207,0.4860794158252275
110,0.0065473592380631915,0.0065473592380623225,0.006547359238062131,0.005237887390449303,0.0008729812317414487,0.4866870362159402,0.0008729812317414487,0.4866870362159399
115,0.0062735257395575535,0.006273525739557361,0.006273525739556367,0.005018820591644877,0.0008364700986072883,0.4872438309962346,0.0008364700986073911,0.4872438309962346
120,0.006021678017739648,0.00602167801773959,0.00602167801774169,0.004817342414191271,0.0008028904023659119,0.4877559213639238,0.0008028904023655783,0.4877559213639324
125,0.005789270551910667,0.00578927055191082,0.005789270551910282,0.00463141644152884,0.0007719027402550561,0.4882284832111146,0.0007719027402550705,0.4882284832111146
130,0.005574136014305575,0.0055741360143057184,0.005574136014306323,0.004459308811444963,0.0007432181352411384,0.48866592343757753,0.0007432181352411384,0.48866592343757753
