M,X,Y_{cj},Y_{rj},U,W
5,0.20000000000000007,0.19999999999999998,0.19999999999999998,0.19999999999999998,0.19999999999999998
10,5.293060021891001e-16,0.49999999999999833,0.49999999999999883,1.104099238941326e-15,1.104099238941326e-15
15,5.89443072280851e-16,0.49999999999999944,0.4999999999999978,1.1461393072127657e-15,1.1461393072127657e-15
20,4.560586949585354e-16,0.4999999999999996,0.49999999999999994,7.024118292888157e-17,7.024118292888157e-17
25,1.0390972895378547e-15,0.49999999999999956,0.49999999999999734,1.0441710067719263e-15,1.0330088288569688e-15
30,1.296085685314965e-16,0.5000000000000031,0.49999999999999617,3.0275751555404267e-16,3.0275751555404267e-16
35,6.470438854094063e-17,0.49999999999999944,0.49999999999999817,1.21927332156835e-15,8.745202513736507e-16
40,3.2314628509986335e-16,0.5000000000000011,0.4999999999999967,9.184423321822679e-16,9.184423321822679e-16
45,5.811363067510756e-16,0.5000000000000037,0.49999999999999545,1.2107006390647409e-16,1.2107006390647409e-16
50,2.5809512610436546e-16,0.49999999999999684,0.500000000000002,4.068022788402792e-16,4.068022788402792e-16
55,7.093387945777142e-16,0.49999999999999095,0.5000000000000058,1.2035585086975562e-15,1.2035585086975562e-15
60,7.734393834800522e-16,0.4999999999999967,0.4999999999999993,1.576084160346721e-15,1.576084160346721e-15
65,2.577045157620672e-16,0.5000000000000097,0.4999999999999898,1.2985891614572918e-16,1.2985891614572918e-16
70,0.0,0.500000000000003,0.49999999999999617,4.588702243502246e-16,4.588702243502246e-16
75,6.4382641326584e-17,0.49999999999998523,0.5000000000000131,7.544840780459063e-16,7.544840780459063e-16
80,1.2872991927745073e-16,0.49999999999998995,0.5000000000000077,1.1387066492335439e-15,1.1387066492335439e-15
85,2.5739740443338727e-16,0.5000000000000001,0.4999999999999994,1.6263293034023591e-16,3.770469791504697e-18
90,1.286709427135314e-16,0.4999999999999892,0.5000000000000084,1.107776397424309e-15,1.107776397424309e-15
95,1.929691448164562e-16,0.4999999999999992,0.4999999999999986,1.1000246302167254e-15,9.414783667021632e-16
