M,X,Y_{cj},Y_{rj},Z,U,W
5,0.1666666666666667,0.1666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
10,0.05084745762711881,0.050847457627119,0.050847457627118654,0.06779661016949114,0.38983050847457623,0.38983050847457623
15,0.03797468355872473,0.03797468355872509,0.03797468355872464,0.05063291141163216,0.4177215189560967,0.4177215189560967
20,0.030303030303030144,0.0303030303030294,0.03030303030303078,0.04040404040403985,0.43434343434343375,0.43434343434343603
25,0.025210084033612967,0.02521008403361188,0.025210084033613377,0.03361344537814975,0.44537815126050606,0.445378151260506
30,0.021582733794316477,0.02158273379431661,0.021582733794315072,0.028776978392420927,0.4532374101123172,0.4532374101123138
35,0.018867924544915537,0.018867924544915544,0.018867924544914053,0.02515723272655165,0.4591194968193516,0.4591194968193516
40,0.016759776536314143,0.016759776536315118,0.016759776536314573,0.022346368715086173,0.463687150837985,0.463687150837985
45,0.0150753768707865,0.015075376870787064,0.015075376870786522,0.020100502494382635,0.46733668344662865,0.46733668344662865
50,0.013698630136986197,0.013698630136985584,0.013698630136986967,0.018264840182648057,0.4703196347031966,0.4703196347031966
55,0.012552301266784372,0.01255230126678383,0.012552301266784327,0.01673640168904563,0.4728033472553009,0.4728033472553009
60,0.011583011604478352,0.011583011604478626,0.011583011604478194,0.015444015472637457,0.4749034748569637,0.4749034748569637
65,0.010752688182063428,0.010752688182062568,0.010752688182064402,0.014336917576084511,0.4767025089388666,0.47670250893885857
70,0.010033444825449702,0.010033444825448153,0.010033444825450738,0.013377926433931988,0.4782608695448597,0.4782608695448597
75,0.009404388692622605,0.009404388692622355,0.009404388692622627,0.012539184923496578,0.47962382449931795,0.47962382449931795
80,0.008849557522123998,0.008849557522124043,0.008849557522123862,0.011799410029498868,0.4808259587020646,0.4808259587020646
85,0.008356545972874229,0.008356545972874649,0.00835654597287412,0.011142061297166475,0.4818941503921052,0.4818941503921052
90,0.00791556727480332,0.007915567274802868,0.007915567274803864,0.01055408969973764,0.48284960423792617,0.48284960423792617
95,0.007518796999641346,0.007518796999641481,0.007518796999639781,0.0100250626661876,0.4837092731674449,0.48370927316744483
100,0.007159904534606668,0.007159904534606917,0.00715990453460635,0.009546539379476011,0.484486873508352,0.484486873508352
105,0.006833712967708489,0.006833712967708445,0.00683371296770661,0.009111617290277306,0.48519362190329296,0.4851936219033061
110,0.00653594771868374,0.006535947718682857,0.006535947718684737,0.008714596958244813,0.48583877994285185,0.48583877994285185
115,0.00626304803474507,0.006263048034745047,0.0062630480347454776,0.008350730712994234,0.4864300625913851,0.4864300625913851
120,0.006012024024963497,0.006012024024962646,0.006012024024964113,0.008016032033284083,0.48697394794591287,0.48697394794591287
125,0.00578034682080866,0.0057803468208069645,0.005780346820808655,0.007707129094409324,0.4874759152215832,0.4874759152215832
130,0.005565862714088992,0.0055658627140892205,0.005565862714088176,0.00742115028545156,0.48794063078614097,0.48794063078614097
135,0.005366726291775163,0.005366726291774973,0.0053667262917754515,0.007155635055700678,0.4883720930344869,0.4883720930344869
140,0.005181347120189679,0.005181347120188931,0.005181347120188545,0.006908462826918831,0.488773747906257,0.488773747906257
145,0.005008347228435296,0.0050083472284352505,0.005008347228435023,0.006677796304579963,0.4891485810050572,0.4891485810050572
150,0.004846526679384465,0.004846526679384986,0.0048465266793839895,0.006462035572512454,0.48949919219466703,0.48949919219466703
155,0.00469483567847376,0.004694835678473602,0.004694835678474009,0.006259780904630841,0.4898278560299839,0.489827856029964
160,0.004552352048559162,0.004552352048559865,0.004552352048560499,0.006069802731413537,0.4901365705614535,0.4901365705614535
165,0.0044182621781361,0.004418262178135601,0.004418262178136826,0.005891016237515216,0.4904270986140381,0.4904270986140381
