gamma,X_{cj},X_{rj},Y_{cj},Y_{rj},U,W
0.0,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.05,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.1,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.15,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.2,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.25,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.3,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.35,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.4,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.45,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.5,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.55,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.6,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.65,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.7,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.75,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.8,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.85,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.9,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
0.95,3.347444989117393e-16,5.579074981862323e-16,0.4999999999999887,0.5000000000000082,1.0918424085597748e-15,1.0918424085597748e-15
