G,X,Y_{cj},Y_{rj},T,U,V,W
0.0,1.298635608233129e-16,0.4999999999999916,0.5000000000000082,1.014559068932132e-18,1.014559068932132e-18,0.0,0.0
0.05,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.1,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.15,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.2,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.25,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.3,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.35,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.4,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.45,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.5,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.55,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.6,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.65,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.7,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.75,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.8,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.85,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.9,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
0.95,0.0,0.5000000000000001,0.5,0.0,4.032736345380715e-18,0.0,4.032736345380715e-18
