M,X_{cj},X_{rj},Y_{cj},Y_{rj},T,U,V,W
5,0.0555555555555554,0.12500000000000044,0.05555555555555564,0.1818181818181817,0.12499999999999988,0.06818181818181811,0.3333333333333333,0.05555555555555558
10,2.7194799110210266e-16,1.4503892858778807e-15,0.49999999999999795,0.49999999999999845,0.0,1.0198049666328849e-15,0.0,1.0198049666328849e-15
15,1.6162934675290652e-15,2.239585203137993e-16,0.4999999999999989,0.4999999999999989,0.0,1.365514078340042e-16,0.0,1.365514078340042e-16
20,2.250358315103815e-15,4.968323552826605e-16,0.4999999999999991,0.4999999999999981,9.32162340517848e-32,4.3838148995528866e-17,2.432282582526314e-33,1.0959537248882216e-17
25,7.808777847911398e-16,2.7475329464873438e-15,0.4999999999999989,0.49999999999999756,4.589390559454135e-31,1.446069971835444e-17,7.168361461338985e-33,7.23034985917722e-18
30,4.14209037268717e-16,2.818048371732519e-16,0.49999999999999967,0.4999999999999996,0.0,3.820407003637366e-17,0.0,3.820407003637366e-17
35,1.1145685942609779e-15,8.002030933155738e-16,0.4999999999999888,0.5000000000000093,2.601483984512922e-30,2.6792514285119657e-17,3.5186550811289605e-32,1.6075508571071798e-17
40,2.5306681306336587e-16,1.1506762340858298e-15,0.49999999999999906,0.4999999999999991,0.0,1.1095929414919207e-16,0.0,9.876635976368511e-17
45,1.3911651363878865e-15,1.1356450092962341e-16,0.4999999999999987,0.49999999999999983,2.7576053488109594e-32,2.1293343924304387e-17,4.921710602557192e-35,2.1293343924304387e-17
50,1.0188363488232454e-15,2.1955330895916926e-16,0.4999999999999993,0.49999999999999956,0.0,2.0518842136993267e-17,0.0,2.0518842136993267e-17
55,2.719479911021031e-16,9.06493303673677e-17,0.49999999999998423,0.5000000000000135,0.0,8.838309710818351e-16,0.0,8.838309710818351e-16
60,5.220316192347289e-16,4.831566646376386e-16,0.4999999999999996,0.4999999999999994,0.0,2.9024463139803966e-17,0.0,2.9024463139803966e-17
65,8.385063058981525e-16,1.4730516184697274e-15,0.4999999999999806,0.5000000000000162,0.0,4.759089844286812e-16,0.0,4.985713170205231e-16
70,9.3236178110912e-16,5.419339398017315e-16,0.4999999999999992,0.4999999999999992,0.0,1.1525303036104794e-17,0.0,1.1525303036104794e-17
75,1.8755726525289218e-16,3.4533494653128125e-16,0.49999999999999967,0.49999999999999967,0.0,6.139071279721855e-18,0.0,2.4565458245004657e-18
80,5.212336496123642e-16,2.4928565851026112e-16,0.49999999999999883,0.4999999999999978,0.0,1.201103627367622e-15,0.0,1.201103627367622e-15
85,1.994220699587848e-15,7.021903871788197e-16,0.49999999999997513,0.5000000000000222,5.543368698197483e-30,3.2476305407020413e-17,3.256805225702315e-32,3.862047129483509e-17
90,5.0432175654924074e-17,4.779951360390593e-16,0.49999999999999967,0.49999999999999967,0.0,1.0542696862557094e-17,0.0,1.0542696862557094e-17
95,2.492856585102613e-16,3.1727265628578716e-16,0.5000000000000251,0.4999999999999722,0.0,1.110454297000255e-15,0.0,1.110454297000255e-15
100,3.52365756305208e-16,7.094030983829369e-16,0.49999999999999944,0.49999999999999944,0.0,1.4590056609667577e-17,0.0,1.4590056609667577e-17
105,1.233036395748416e-15,1.233036395748416e-15,0.4999999999999699,0.5000000000000276,1.3445493445889232e-29,2.452061014272418e-17,6.372734118687294e-32,2.452061014272418e-17
110,3.361346576539344e-16,3.641458791250957e-16,0.49999999999999883,0.5000000000000004,1.2412906353854156e-31,3.4138676167977716e-17,4.501335784256017e-34,3.764007885187287e-17
115,4.199995965583415e-16,1.1479988972594668e-15,0.49999999999996797,0.5000000000000305,6.562372586854749e-30,1.1374989073455083e-17,2.885325914027973e-32,1.2249988232951628e-17
120,2.4608975092796397e-16,1.0491968140594251e-15,0.4999999999999994,0.4999999999999994,0.0,2.3414371258797475e-17,0.0,2.3414371258797475e-17
125,1.6351154118482023e-16,2.2389488840488625e-16,0.49999999999999983,0.49999999999999983,0.0,1.1464929982249963e-17,0.0,1.2690478975530323e-17
130,1.9489606028984015e-15,5.892206473878889e-16,0.49999999999999867,0.49999999999999795,0.0,5.438959822042051e-16,0.0,5.438959822042051e-16
135,1.1331166295920935e-16,1.2011036273676192e-15,0.49999999999996253,0.5000000000000359,0.0,1.5863632814289309e-16,0.0,1.5863632814289309e-16
140,1.9186597033668323e-16,6.837703693977661e-16,0.49999999999999956,0.49999999999999956,0.0,2.2692136882363717e-17,0.0,2.2692136882363717e-17
145,2.2662332591842034e-17,2.3795449221434135e-15,0.499999999999958,0.5000000000000384,0.0,5.665583147960508e-16,0.0,5.438959822042088e-16
150,4.625284659017736e-16,4.758297248342328e-16,0.4999999999999996,0.49999999999999956,0.0,1.925589222636197e-17,0.0,1.925589222636197e-17
155,5.412966398281681e-16,5.6636128480444095e-16,0.49999999999999944,0.49999999999999944,0.0,4.239941686799378e-18,0.0,9.760509319328058e-18
160,1.8129866073473476e-15,1.2917529577349853e-15,0.49999999999999906,0.4999999999999973,0.0,3.1727265628578593e-16,0.0,2.9461032369394405e-16
