M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,T,U,V,W
5,0.055555555555555546,0.11111111111111097,0.05555555555555556,0.15740740740740752,0.11111111111111116,0.1111111111111112,0.0648148148148148,0.2777777777777776,0.05555555555555556
10,0.05328643971190226,0.06423260272552984,0.24307699140592046,0.23585974106726446,0.15964557749106184,0.016166640758588726,0.11011303324376537,0.02627079123270621,0.09134818236326084
15,0.05164797360603788,0.06325865230228035,0.2435512469297569,0.2342658784595221,0.1592723751297601,0.01606395199813173,0.11319969358829855,0.02631753837970025,0.09242268960651193
20,0.05073219622123939,0.06270412495713441,0.2438752306612012,0.23331176412952986,0.15906233159691036,0.016009520388000617,0.11495756242141121,0.026338243218968733,0.09300902640560402
25,0.050147285580339325,0.06234618444103844,0.24410503389612667,0.2326778818273199,0.15892763857448233,0.015975754791429667,0.11609289516607237,0.026349621539111537,0.09337770418407977
30,0.04974134578800819,0.062096058050766234,0.24427522885109726,0.23222651565123353,0.15883391483410927,0.01595275127148022,0.11688669751377152,0.026356719492236863,0.09363076854729689
35,0.04944312690398485,0.06191141924828769,0.2444059328013081,0.2318888726925233,0.15876493516461046,0.015936067601009386,0.11747294933720594,0.026361532386521332,0.09381516386454902
40,0.049214771080171436,0.06176953012303864,0.24450930005608698,0.23162682903100354,0.15871204302903047,0.015923412211794226,0.1179236484167093,0.026364993990019576,0.0939554720621459
45,0.04903430108816212,0.061657086003245404,0.24459302234779012,0.2314175721199572,0.15867019815591535,0.015913482538284996,0.11828094050064426,0.02636759515482966,0.09406580209117085
50,0.04888808328053146,0.06156578371045797,0.24466217807474844,0.23124662206424484,0.1586362667129982,0.015905483206052923,0.1185711389979178,0.026369616894246016,0.09415482705880217
55,0.04876721114351309,0.061490173451497154,0.24472024538465456,0.23110434801320764,0.15860819779928695,0.01589890097991779,0.11881152158036343,0.026371230966564966,0.09422817068099443
60,0.0486656198858521,0.06142653017490738,0.2447696823135381,0.23098409628392944,0.15858459286582244,0.015893389813714496,0.11901390220668447,0.026372547932417317,0.0942896385231344
65,0.048579036773043656,0.06137222133179372,0.24481227332328834,0.23088112300735694,0.158564465443548,0.015888707880183605,0.11918663272795671,0.02637364201420899,0.09434189749862004
70,0.048504364741462476,0.06132533374268308,0.24484934428977445,0.23079195506057262,0.15854709978344897,0.0158846810747422,0.1193357845772202,0.02637456480324648,0.09438687192684939
75,0.04843930403851107,0.0612844435971434,0.2448819004360617,0.23071399140779014,0.15853196394795108,0.015881180854380752,0.11946587739926469,0.026375353225348067,0.09442598509354902
80,0.048382111173263485,0.061248469406208796,0.2449107174601345,0.23064524564535446,0.1585186543684963,0.015878110247175455,0.11958034503117093,0.02637603437753919,0.09446031229065698
85,0.048331440297378535,0.061216574946839415,0.24493640336202302,0.2305841745997854,0.15850685932060196,0.015875394717649587,0.11968184315055258,0.02637662857745097,0.09449068102771861
90,0.048286235966517425,0.06118810347396275,0.2449594413387602,0.23052956127858915,0.15849633420578285,0.015872976032367363,0.1197724578664203,0.02637715134798173,0.09451773848961822
95,0.048245658826258225,0.061162532026395496,0.24498022018320706,0.23048043303935856,0.1584868844075216,0.015870808033852803,0.1198538506352102,0.02637761474608593,0.09454199810210999
100,0.048209032984683785,0.06113943900173341,0.24499905623798568,0.23043600318476531,0.15847835314091657,0.015868853663314475,0.11992736111878549,0.02637802827478111,0.0945638723930341
105,0.048175808080984046,0.0611184807443911,0.24501620948936711,0.23039562857865187,0.1584706126893388,0.015867082824498717,0.11999408146686559,0.026378399522281926,0.09458369660362073
