M,X_{cj},X_{rj},Y_{cj},Y_{rj},Z,U,W
5,0.1428571428571432,0.142857142857143,0.14285714285714277,0.21428571428571394,0.14285714285714274,0.07142857142857152,0.14285714285714274
10,0.06034482758620672,0.060344827586206906,0.22413793103448282,0.22413793103448276,0.22413793103448282,0.10344827586206896,0.10344827586206896
15,0.05900621118157104,0.05900621118157117,0.2236024844726283,0.22360248447262848,0.22360248447262843,0.10559006210948627,0.10559006210948627
20,0.058252427184466,0.0582524271844657,0.2233009708737858,0.22330097087378648,0.22330097087378653,0.10679611650485475,0.10679611650485474
25,0.05776892430278926,0.057768924302788904,0.22310756972111545,0.2231075697211154,0.22310756972111565,0.1075697211155376,0.1075697211155376
30,0.057432432430720624,0.05743243243072033,0.22297297297228805,0.22297297297228824,0.22297297297228824,0.10810810811084723,0.10810810811084723
35,0.05718475073464263,0.0571847507346429,0.22287390029385726,0.22287390029385712,0.22287390029385698,0.1085043988245715,0.10850439882457151
40,0.05699481865284954,0.05699481865285007,0.22279792746114,0.2227979274611401,0.22279792746113986,0.10880829015544012,0.1088082901554401
45,0.05684454756259383,0.056844547562593835,0.22273781902503778,0.2227378190250376,0.22273781902503736,0.1090487238998498,0.10904872389984978
50,0.05672268907563052,0.056722689075629995,0.22268907563025211,0.22268907563025175,0.22268907563025211,0.10924369747899162,0.10924369747899162
55,0.05662188099909386,0.056621880999093106,0.22264875239963736,0.22264875239963697,0.2226487523996375,0.10940499040145048,0.10940499040145048
60,0.05653710247537128,0.056537102475371206,0.22261484099014886,0.2226148409901482,0.22261484099014825,0.10954063603940614,0.10954063603940614
65,0.05646481178483104,0.05646481178483165,0.2225859247139326,0.22258592471393274,0.2225859247139322,0.10965630114426989,0.10965630114426991
70,0.056402439025203734,0.05640243902520361,0.22256097561008126,0.22256097561008129,0.22256097561008162,0.10975609755967422,0.10975609755967429
75,0.056348074177835494,0.05634807417783534,0.2225392296711344,0.222539229671134,0.22253922967113446,0.10984308131546315,0.10984308131546311
80,0.0563002680965142,0.056300268096514866,0.22252010723860574,0.22252010723860588,0.22252010723860613,0.10991957104557669,0.10991957104557669
85,0.056257901391663256,0.056257901391663805,0.22250316055666564,0.22250316055666555,0.22250316055666527,0.10998735777333823,0.10998735777333826
90,0.056220095693136164,0.05622009569313643,0.22248803827725452,0.22248803827725439,0.22248803827725447,0.11004784689098202,0.11004784689098202
95,0.05618615210049861,0.05618615210049867,0.22247446084019953,0.22247446084019915,0.22247446084019945,0.11010215663920227,0.11010215663920227
100,0.05615550755939532,0.05615550755939488,0.2224622030237578,0.22246220302375813,0.22246220302375969,0.11015118790496709,0.11015118790496709
105,0.056127703397166495,0.05612770339716598,0.22245108135886657,0.22245108135886638,0.22245108135886696,0.11019567456453384,0.11019567456453375
110,0.05610236220525696,0.05610236220525711,0.22244094488210295,0.22244094488210275,0.22244094488210273,0.11023622047158868,0.11023622047158871
115,0.056079170595311464,0.05607917059531187,0.22243166823812496,0.2224316682381248,0.22243166823812469,0.11027332704750113,0.11027332704750113
120,0.05605786618248666,0.05605786618248604,0.2224231464729946,0.22242314647299458,0.22242314647299527,0.11030741410802147,0.11030741410802138
125,0.05603822762814935,0.056038227628149896,0.2224152910512603,0.22241529105126076,0.22241529105125943,0.11033883579496018,0.11033883579496018
130,0.05602006689008669,0.05602006689008628,0.22240802675603472,0.2224080267560345,0.22240802675603485,0.11036789297586158,0.11036789297586158
135,0.05600322320665263,0.05600322320665293,0.22240128928266092,0.22240128928266098,0.22240128928266126,0.1103948428693556,0.11039484286935565
140,0.055987558317833426,0.0559875583178339,0.22239502332713343,0.22239502332713376,0.22239502332713304,0.11041990669146627,0.11041990669146627
145,0.055972952665735196,0.055972952665735334,0.22238918106629418,0.2223891810662943,0.22238918106629388,0.11044327573482357,0.11044327573482361
150,0.05595930232756262,0.0559593023275619,0.2223837209310248,0.22238372093102474,0.22238372093102482,0.11046511627590054,0.11046511627590054
155,0.05594651653745771,0.05594651653745824,0.22237860661498304,0.2223786066149837,0.22237860661498296,0.11048557354006719,0.11048557354006719
160,0.05593451568894969,0.05593451568894976,0.22237380627557957,0.2223738062755797,0.22237380627558004,0.11050477489768054,0.11050477489768054
165,0.05592322965158723,0.05592322965158783,0.22236929186063495,0.2223692918606355,0.22236929186063467,0.11052283255745994,0.11052283255745987
170,0.05591259639857074,0.05591259639857077,0.2223650385594285,0.22236503855942838,0.22236503855942802,0.11053984576228681,0.11053984576228675
175,0.05590256089858452,0.05590256089858408,0.22236102435943383,0.22236102435943328,0.222361024359434,0.11055590256226512,0.11055590256226512
180,0.05589307412173409,0.05589307412173419,0.22235722964869348,0.22235722964869323,0.22235722964869356,0.11057108140522569,0.11057108140522569
185,0.055884092252781355,0.05588409225278137,0.22235363690111237,0.22235363690111223,0.22235363690111282,0.11058545239554993,0.11058545239554993
190,0.055875576037181865,0.05587557603718187,0.22235023041487273,0.22235023041487278,0.22235023041487265,0.11059907834050911,0.11059907834050911
195,0.055867490172368896,0.05586749017236873,0.2223469960689476,0.2223469960689474,0.22234699606894778,0.11061201572420981,0.11061201572420981
200,0.05585980284775486,0.055859802847754804,0.22234392113910242,0.22234392113910162,0.22234392113910162,0.11062431544359227,0.11062431544359226
205,0.055852485303148826,0.055852485303148576,0.2223409941212594,0.22234099412125935,0.22234099412125918,0.11063602351496218,0.11063602351496228
210,0.05584551148454252,0.05584551148454299,0.222338204593817,0.22233820459381692,0.22233820459381742,0.11064718162473164,0.11064718162473157
215,0.05583885772620892,0.0558388577262092,0.22233554309048356,0.2223355430904839,0.22233554309048376,0.11065782763806536,0.11065782763806536
220,0.05583250248978934,0.055832502489789056,0.22233300099591588,0.22233300099591569,0.22233300099591596,0.11066799601633702,0.11066799601633702
225,0.055826426130919635,0.055826426130918885,0.2223305704523679,0.2223305704523677,0.2223305704523675,0.11067771819052917,0.11067771819052918
230,0.05582061068780829,0.055820610687808324,0.2223282442751233,0.22232824427512324,0.2223282442751231,0.11068702289950685,0.11068702289950688
235,0.05581503969812666,0.05581503969812639,0.22232601587925038,0.2223260158792505,0.22232601587925113,0.11069593648299747,0.11069593648299747
240,0.0558096980806916,0.05580969808069094,0.22232387923227656,0.22232387923227628,0.22232387923227698,0.11070448307089371,0.11070448307089387
245,0.055804571943664186,0.05580457194366407,0.22232182877746598,0.22232182877746565,0.2223218287774658,0.11071268489013722,0.11071268489013722
250,0.055799648506151385,0.05579964850615115,0.22231985940246024,0.2223198594024607,0.2223198594024606,0.11072056239015798,0.11072056239015798
255,0.055794915982832795,0.05579491598283283,0.222317966393133,0.2223179663931332,0.2223179663931333,0.11072813442746743,0.11072813442746743
260,0.055790363479884524,0.055790363479884995,0.22231614539195377,0.22231614539195385,0.22231614539195332,0.1107354184321848,0.1107354184321848
265,0.05578598092043821,0.05578598092043796,0.22231439236817485,0.22231439236817507,0.22231439236817505,0.11074243052729939,0.11074243052729939
