M,X_{cj},X_{rj},Y_{cj},Y_{rj},T,V
5,0.06250000000000018,0.16666666666666624,0.06249999999999991,0.16666666666666682,0.16666666666666682,0.37500000000000006
10,6.661338147750928e-16,2.775557561562887e-16,0.4999999999999986,0.5000000000000006,0.0,0.0
15,0.0,1.1102230246251565e-16,0.49999999999999845,0.5000000000000014,0.0,0.0
20,1.059209303516721e-16,5.789568317218322e-17,0.49999999999999994,0.49999999999999994,0.0,0.0
25,3.0531133177191795e-16,1.2767564783189298e-15,0.49999999999999695,0.5000000000000016,0.0,0.0
30,8.326672684688668e-17,1.2767564783189292e-15,0.4999999999999967,0.5000000000000019,0.0,0.0
35,5.051758250184625e-16,7.469447272211741e-16,0.4999999999999994,0.4999999999999994,0.0,0.0
40,4.143464460623563e-16,7.174380748315595e-16,0.49999999999999944,0.49999999999999944,0.0,0.0
45,7.510261549701682e-16,1.464708389633403e-16,0.49999999999999956,0.49999999999999956,0.0,0.0
50,3.053113317719178e-16,1.0824674490095264e-15,0.49999999999999445,0.5000000000000041,0.0,0.0
55,4.478909773901232e-17,2.95696333155667e-16,0.49999999999999983,0.49999999999999983,0.0,0.0
60,1.9428902930940227e-16,1.110223024625156e-16,0.4999999999999941,0.5000000000000057,0.0,0.0
65,3.085323452243244e-16,5.952641065432638e-16,0.49999999999999956,0.49999999999999956,0.0,0.0
70,1.096152358496622e-15,2.7678625549062597e-16,0.4999999999999994,0.4999999999999994,0.0,0.0
75,4.194708837152031e-16,3.8040893409559394e-16,0.4999999999999996,0.4999999999999996,0.0,0.0
80,2.8549466728660053e-16,3.296857757707243e-16,0.49999999999999967,0.49999999999999967,0.0,0.0
85,1.1102230246251534e-15,5.551115123125767e-17,0.4999999999999911,0.5000000000000077,0.0,0.0
90,1.6653345369377333e-16,1.3877787807814444e-16,0.49999999999999106,0.5000000000000087,0.0,0.0
95,7.435045291537003e-16,1.4055464779494606e-16,0.49999999999999956,0.49999999999999956,0.0,0.0
100,1.0547118733938981e-15,2.498001805406601e-16,0.49999999999998973,0.500000000000009,0.0,0.0
105,1.1102230246251538e-15,3.0531133177191736e-16,0.5000000000000092,0.49999999999998934,0.0,0.0
110,8.326672684688672e-17,2.7755575615628904e-16,0.4999999999999892,0.5000000000000105,0.0,0.0
115,5.551115123125783e-17,5.551115123125783e-16,0.4999999999999884,0.500000000000011,0.0,0.0
120,4.996003610813204e-16,1.3877787807814457e-16,0.49999999999998784,0.5000000000000115,0.0,0.0
125,7.423227311805893e-16,1.0963654352140167e-15,0.49999999999999906,0.49999999999999906,0.0,0.0
130,4.718447854656916e-16,1.387778780781446e-16,0.5000000000000123,0.4999999999999871,0.0,0.0
135,3.0531133177191815e-16,1.082467449009528e-15,0.4999999999999863,0.5000000000000122,0.0,0.0
140,5.551115123125781e-17,1.3877787807814453e-15,0.5000000000000132,0.49999999999998535,0.0,0.0
145,3.8857805861880444e-16,5.551115123125777e-16,0.49999999999998557,0.5000000000000135,0.0,0.0
150,1.3877787807814447e-16,6.661338147750935e-16,0.5000000000000147,0.4999999999999845,0.0,0.0
