M,X,Y_{cj},Y_{rj},T,U,V,W
5,0.1428571428571426,0.06349206349206386,0.21428571428571405,0.14285714285714282,0.0714285714285715,0.20899470899470907,0.15608465608465594
10,7.823045914156465e-16,0.5000000000000051,0.4999999999999937,2.625503404771324e-32,1.8282118168952605e-16,5.7921467652687855e-33,1.4880793858449794e-16
15,5.461575137144022e-16,0.5000000000000031,0.49999999999999634,0.0,2.4825341532472825e-17,0.0,2.4825341532472825e-17
20,1.0923150274287987e-15,0.500000000000002,0.4999999999999959,0.0,5.213321721819267e-16,0.0,5.213321721819267e-16
25,4.468561475845085e-16,0.5000000000000053,0.49999999999999223,0.0,1.0178390028313803e-15,0.0,1.0178390028313803e-15
30,2.234280737922531e-16,0.4999999999999909,0.500000000000007,0.0,9.433629782339574e-16,0.0,9.433629782339574e-16
35,1.4895204919483574e-16,0.499999999999992,0.5000000000000066,0.0,6.454588798442882e-16,0.0,6.454588798442882e-16
40,1.0424198741909377e-15,0.5000000000000224,0.49999999999997663,5.697635876727918e-32,1.221585790067505e-17,3.195381464087682e-33,1.0179881583895876e-18
45,3.4755478145461856e-16,0.49999999999999134,0.5000000000000084,0.0,4.96506830649455e-17,0.0,4.96506830649455e-17
50,3.8966148357669696e-16,0.4999999999999812,0.5000000000000183,1.562952125846642e-32,4.5663455106644176e-17,1.2108652353844628e-34,3.247179029805808e-17
55,1.2973536595723987e-16,0.49999999999999983,0.49999999999999994,0.0,1.216269055849124e-17,0.0,1.216269055849124e-17
60,7.447602459741817e-16,0.500000000000011,0.49999999999998773,0.0,2.9790409838967267e-16,0.0,2.9790409838967267e-16
65,5.827548111300499e-16,0.5000000000000105,0.4999999999999888,3.25890106042159e-32,1.9222814950470397e-17,6.238643539434349e-34,2.529317756640842e-17
70,1.9411316562282238e-16,0.4999999999999924,0.5000000000000073,5.222316504759198e-33,1.11210667804742e-17,8.64275963805816e-34,4.0440242838088e-18
75,6.466434037442941e-17,0.5000000000000367,0.4999999999999631,3.927741401336175e-32,3.485812098309086e-17,2.032957957271007e-34,3.991002257484315e-17
80,5.81663313179755e-16,0.49999999999999245,0.500000000000007,6.90145646965431e-33,2.625563566436394e-17,1.3866731524449022e-34,3.0799880298580777e-17
85,3.8758961766228917e-16,0.5000000000000128,0.4999999999999869,7.352563511064932e-33,5.046739813311057e-18,8.27120109425545e-34,1.4635545458602066e-17
90,1.9371210225035882e-16,0.49999999999998673,0.5000000000000131,6.260473125622027e-32,1.816050958597114e-17,5.502119924929342e-34,1.412484078908866e-17
