M,X,Y_{cj},Y_{rj},Z,T,U,V,W
5,0.12500000000000047,0.062499999999999827,0.1818181818181818,0.12500000000000003,0.12499999999999999,0.06818181818181818,0.17857142857142835,0.1339285714285713
10,0.07262569832402212,0.22346368715083764,0.22346368715083784,0.1787709497206703,0.022346368715083824,0.12849162011173218,0.022346368715083824,0.1284916201117322
15,0.0708661417341434,0.22309711286127962,0.22309711286128028,0.1784776902890237,0.022309711286128294,0.1299212598410082,0.022309711286128266,0.12992125984100825
20,0.06990881458966558,0.22289766970618063,0.22289766970618005,0.1783181357649441,0.022289766970617953,0.13069908814589676,0.022289766970617932,0.13069908814589684
25,0.06930693069306948,0.22277227722772253,0.22277227722772316,0.1782178217821782,0.02227722772277227,0.13118811881188103,0.022277227722772228,0.13118811881188103
30,0.06889352818162355,0.2226861517045054,0.22268615170450456,0.178148921363604,0.022268615170450506,0.13152400835243075,0.02226861517045052,0.13152400835243072
35,0.0685920577635573,0.22262334536740794,0.22262334536740788,0.17809867629392617,0.022262334536740782,0.13176895306710965,0.022262334536740775,0.13176895306710965
40,0.06836248012718603,0.2225755166931632,0.222575516693164,0.17806041335453104,0.022257551669316374,0.13195548489666156,0.022257551669316374,0.1319554848966615
45,0.06818181818036533,0.22253787878757605,0.22253787878757605,0.17803030303006065,0.022253787878757564,0.13210227272845337,0.02225378787875767,0.13210227272845337
50,0.06803594351732949,0.22250748823277752,0.22250748823277672,0.17800599058622144,0.022250748823277784,0.13222079589216967,0.02225074882327781,0.13222079589216956
55,0.06791569086771722,0.22248243559744021,0.22248243559744016,0.17798594847795254,0.022248243559744602,0.1323185011699803,0.022248243559744554,0.13231850116998023
60,0.06781485468467877,0.22246142805930832,0.22246142805930813,0.1779691424474466,0.022246142805930843,0.1324004305686982,0.022246142805930843,0.1324004305686982
65,0.06772908366637015,0.22244355909716035,0.22244355909716043,0.17795484727772834,0.02224435590971606,0.1324701195210744,0.022244355909716036,0.13247011952107435
70,0.06765523633089704,0.22242817423560385,0.22242817423560357,0.1779425393884828,0.022242817423560362,0.1325301204811459,0.02224281742356038,0.1325301204811459
75,0.06759098786603213,0.2224147891387561,0.22241478913875662,0.17793183131100443,0.022241478913875564,0.1325823223588498,0.022241478913875547,0.1325823223588498
80,0.0675345809601302,0.22240303770002673,0.22240303770002737,0.17792243016002174,0.02224030377000276,0.1326281529698943,0.022240303770002735,0.13262815296989436
85,0.06748466257788677,0.2223926380370597,0.2223926380370601,0.17791411042964794,0.022239263803705996,0.1326687116554667,0.022239263803706007,0.1326687116554667
