M,X,Y_{cj},Y_{rj},Z,T,V
5,0.16666666666666655,0.07407407407407406,0.16666666666666677,0.16666666666666666,0.16666666666666677,0.25925925925925924
10,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
15,0.1428571428571431,0.21428571428571427,0.21428571428571436,0.2857142857142855,0.07142857142857142,0.07142857142857142
20,0.1428571428571429,0.2142857142857143,0.2142857142857143,0.2857142857142856,0.0714285714285714,0.0714285714285714
25,0.14285714285714285,0.21428571428571405,0.21428571428571436,0.2857142857142859,0.0714285714285714,0.0714285714285714
30,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
35,0.1428571428571431,0.21428571428571427,0.21428571428571436,0.2857142857142855,0.07142857142857142,0.07142857142857142
40,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
45,0.14285714285714293,0.2142857142857142,0.2142857142857142,0.2857142857142858,0.07142857142857145,0.07142857142857145
50,0.14285714285714285,0.21428571428571405,0.21428571428571436,0.2857142857142859,0.0714285714285714,0.0714285714285714
55,0.14285714285714293,0.2142857142857142,0.2142857142857142,0.2857142857142858,0.07142857142857145,0.07142857142857145
60,0.14285714285714293,0.2142857142857142,0.2142857142857142,0.2857142857142858,0.07142857142857145,0.07142857142857145
65,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
70,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
75,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.28571428571428564,0.07142857142857138,0.07142857142857138
80,0.14285714285714282,0.21428571428571405,0.21428571428571444,0.28571428571428575,0.07142857142857141,0.07142857142857141
85,0.1428571428571431,0.21428571428571427,0.21428571428571436,0.2857142857142855,0.07142857142857142,0.07142857142857142
90,0.14285714285714285,0.21428571428571397,0.21428571428571427,0.28571428571428564,0.07142857142857155,0.07142857142857155
95,0.14285714285714302,0.214285714285714,0.21428571428571444,0.2857142857142857,0.07142857142857144,0.07142857142857144
100,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
105,0.14285714285714293,0.2142857142857142,0.2142857142857142,0.2857142857142858,0.07142857142857145,0.07142857142857145
110,0.1428571428571431,0.21428571428571427,0.21428571428571436,0.2857142857142855,0.07142857142857142,0.07142857142857142
115,0.14285714285714293,0.2142857142857142,0.2142857142857142,0.2857142857142858,0.07142857142857145,0.07142857142857145
120,0.1428571428571431,0.21428571428571427,0.21428571428571436,0.2857142857142855,0.07142857142857142,0.07142857142857142
125,0.14285714285714304,0.21428571428571427,0.21428571428571427,0.2857142857142856,0.07142857142857134,0.07142857142857134
130,0.14285714285714302,0.214285714285714,0.21428571428571444,0.2857142857142857,0.07142857142857144,0.07142857142857144
135,0.1428571428571429,0.21428571428571397,0.21428571428571444,0.28571428571428575,0.0714285714285714,0.0714285714285714
140,0.1428571428571428,0.21428571428571438,0.21428571428571438,0.2857142857142857,0.07142857142857137,0.07142857142857137
145,0.14285714285714285,0.21428571428571427,0.21428571428571427,0.28571428571428564,0.07142857142857138,0.07142857142857138
150,0.14285714285714285,0.21428571428571405,0.21428571428571436,0.2857142857142859,0.0714285714285714,0.0714285714285714
155,0.14285714285714302,0.214285714285714,0.21428571428571444,0.2857142857142857,0.07142857142857144,0.07142857142857144
160,0.1428571428571431,0.21428571428571427,0.21428571428571436,0.2857142857142855,0.07142857142857142,0.07142857142857142
165,0.14285714285714307,0.21428571428571397,0.21428571428571438,0.28571428571428564,0.07142857142857138,0.0714285714285714
