alpha,X_{cj},X_{rj},Y_{cj},Y_{rj},U,W
0.0,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.01,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.02,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.03,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.04,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.05,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.06,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.07,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.08,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.09,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.1,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.11,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.12,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.13,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.14,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.15,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.16,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.17,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.18,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.19,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.2,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.21,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.22,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.23,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.24,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.25,8.32096496949735e-17,6.035332819648078e-16,0.5000000000000014,0.4999999999999974,9.47958034499698e-18,4.3816726927986044e-16
0.26,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.27,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.28,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.29,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.3,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.31,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.32,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.33,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.34,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.35,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.36,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.37,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.38,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.39,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.4,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.41,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.42,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.43,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.44,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.45,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.46,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.47,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.48,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.49,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.5,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.51,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.52,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.53,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.54,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
0.55,5.046684612168417e-16,3.9251991427976574e-16,0.4999999999999898,0.5000000000000094,1.6647049935972207e-17,2.1027852550701734e-17
