alpha,X,Y_{cj},Y_{rj},T,U,V,W
0.0,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.01,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.02,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.03,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.04,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.05,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.06,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.07,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.08,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.09,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.1,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.11,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.12,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.13,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.14,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.15,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.16,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
0.17,1.1571902783659302e-15,0.5000000000000003,0.499999999999997,4.1926195800499397e-19,1.388628334039116e-15,9.300107770060711e-22,1.0286135807697156e-16
